Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
35	-780.0865	-803.0851	22.99862	0.0001084104	0.0001851645	7.65545e-05	0.000130755	0.000140266	0.000239574	0.706155	1.29385	0.4488871	0.738769	1.3536	0.00010841	0.000185164	0.01968305	0.0196831	0.0196831	0.2322766	0.0007516813	0.0893044	0.000289002	0.375249	0.00121436	0.384475	1.61553	1.064166	0.487839	2.04985	0.232277	0.000751681	0.0171213	0.0367893
36	-788.9279	-803.2979	14.37002	0.006102878	0.09334238	0.00430958	0.0659142	0.00789618	0.120771	0.706155	1.29385	0.4488871	0.738769	1.3536	0.00610288	0.0933424	0.002825327	0.00282533	0.00282533	0.2431008	0.003911431	0.0953135	0.00153357	0.390888	0.00628929	0.392074	1.60793	1.046161	0.4938	2.02511	0.243101	0.00391143	0.0225445	0.0101981
37	-784.9245	-802.5095	17.58507	0.0007506576	0.002106006	0.00053008	0.00148717	0.000971235	0.00272485	0.706155	1.29385	0.4488871	0.738769	1.3536	0.000750658	0.00210601	0.01028307	0.0102831	0.0102831	0.1792457	0.003911431	0.0778402	0.0016986	0.280651	0.00612426	0.434265	1.56573	0.9506852	0.526646	1.89881	0.179246	0.00391143	0.0112513	0.0503276
38	-779.4556	-804.9441	25.4885	0.0001229305	0.0004121321	8.6808e-05	0.000291029	0.000159053	0.000533235	0.706155	1.29385	0.4488871	0.738769	1.3536	0.000122931	0.000412132	0.008386576	0.00838658	0.00838658	0.2339282	0.0003975846	0.101587	0.000172657	0.366269	0.000622512	0.434265	1.56573	0.9506852	0.526646	1.89881	0.233928	0.000397585	0.0289932	0.00623902
39	-783.9449	-803.9412	19.99634	0.001021276	0.0004121321	0.000944731	0.000381243	0.00109782	0.000443022	0.925049	1.07495	0.1113306	0.927659	1.07798	0.00102128	0.000412132	0.008386576	0.00838658	0.00838658	0.2039054	0.1313343	0.0885491	0.0570339	0.319262	0.205635	0.434265	1.56573	0.9506852	0.526646	1.89881	0.203905	0.131334	0.0151223	0.000303945
40	-784.0607	-804.5171	20.45642	0.00017454	0.001589748	0.000172843	0.00157429	0.000176237	0.00160521	0.990276	1.00972	0.01441684	0.990323	1.00977	0.00017454	0.00158975	0.008328735	0.00832873	0.00832873	0.2291262	0.1313343	0.0988883	0.0566824	0.359364	0.205986	0.431589	1.56841	0.9565347	0.524572	1.90632	0.229126	0.131334	0.0151223	0.000303945
41	-787.1733	-805.1121	17.93877	0.00017454	0.001210868	0.000117429	0.000814664	0.000231651	0.00160707	0.672793	1.32721	0.5036351	0.711986	1.40452	0.00017454	0.00121087	0.01597446	0.0159745	0.0159745	0.2193568	0.1646856	0.0685128	0.0514371	0.370201	0.277934	0.312335	1.68766	1.250593	0.430197	2.32452	0.219357	0.164686	0.0151223	0.00738419
42	-793.8023	-800.4397	6.637399	0.0004956486	0.001210868	1.55244e-05	3.79259e-05	0.000975773	0.00238381	0.0313213	1.96868	3.069594	0.126134	7.92807	0.000495649	0.00121087	0.00713241	0.00713241	0.00713241	0.2193568	0.06406336	0.0826833	0.0241477	0.35603	0.103979	0.376935	1.62306	1.082298	0.48191	2.07508	0.219357	0.0640634	0.0151223	0.0985437
43	-792.9881	-803.6613	10.67318	0.002264055	0.01464752	7.09131e-05	0.000458779	0.0044572	0.0288363	0.0313213	1.96868	3.069594	0.126134	7.92807	0.00226405	0.0146475	0.008147558	0.00814756	0.00814756	0.2068149	0.03960038	0.0706898	0.0135355	0.34294	0.0656653	0.341802	1.6582	1.170703	0.454014	2.20257	0.206815	0.0396004	0.020594	0.00351557
44	-787.214	-803.6038	16.38977	0.0001708778	0.01464752	3.08804e-06	0.000264704	0.000338668	0.0290303	0.0180716	1.98193	3.482249	0.0954893	10.4724	0.000170878	0.0146475	0.003780285	0.00378028	0.00378028	0.2068149	0.0002451803	0.0706898	8.38032e-05	0.34294	0.000406557	0.341802	1.6582	1.170703	0.454014	2.20257	0.206815	0.00024518	0.0231786	0.019744
