Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
44	-2115.211	-2111.411	-3.80004	0.4901295	0.1756479	0.0302794	0.0108512	0.94998	0.340445	0.0617783	1.93822	2.554504	0.178532	5.60123	0.490129	0.175648	0.03371539	0.0337154	0.0337154	0.5737833	0.09989751	0.0867452	0.0151026	1.06082	0.184692	0.151181	1.84882	1.856088	0.285957	3.49702	0.573783	0.0998975	0.00678715	0.00860997
45	-2118.273	-2115.695	-2.578119	0.5236303	0.1756479	0.032349	0.0108512	1.01491	0.340445	0.0617783	1.93822	2.554504	0.178532	5.60123	0.52363	0.175648	0.03371539	0.0337154	0.0337154	0.5737833	0.1290736	0.0895544	0.0201454	1.05801	0.238002	0.156077	1.84392	1.830496	0.290936	3.43718	0.573783	0.129074	0.00187056	0.00586293
46	-2114.908	-2117.573	2.664901	0.5236303	0.0010423	0.032349	6.43915e-05	1.01491	0.00202021	0.0617783	1.93822	2.554504	0.178532	5.60123	0.52363	0.0010423	0.03371539	0.0337154	0.0337154	0.6156217	0.1290736	0.0979846	0.0205438	1.13326	0.237603	0.159164	1.84084	1.814736	0.294045	3.40084	0.615622	0.129074	0.00105594	0.00586293
47	-2114.615	-2123.598	8.983417	0.5025011	0.0002530341	0.0310437	1.5632e-05	0.973959	0.000490436	0.0617783	1.93822	2.554504	0.178532	5.60123	0.502501	0.000253034	0.01527555	0.0152755	0.0152755	0.5822384	0.03164219	0.0823584	0.00447583	1.08212	0.0588086	0.141451	1.85855	1.909292	0.275878	3.62479	0.582238	0.0316422	0.0013109	0.00586293
48	-2110.494	-2111.614	1.120527	0.4924131	0.0005455092	0.00348981	3.86611e-06	0.981336	0.00108715	0.00708716	1.99291	4.180247	0.0596337	16.769	0.492413	0.000545509	0.03121128	0.0312113	0.0312113	0.5822384	0.02747361	0.101013	0.00476642	1.06346	0.0501808	0.173491	1.82651	1.74505	0.308196	3.24469	0.582238	0.0274736	0.00325187	0.0123358
49	-2112.905	-2110.663	-2.24199	0.4989896	0.0005455092	0.000697873	7.62934e-07	0.997281	0.00109026	0.00139857	1.9986	5.385368	0.0264533	37.8025	0.49899	0.000545509	0.03416054	0.0341605	0.0341605	0.5822384	0.03416024	0.101013	0.00592649	1.06346	0.062394	0.173491	1.82651	1.74505	0.308196	3.24469	0.582238	0.0341602	0.00581686	0.0123358
50	-2113.207	-2112.238	-0.9685554	0.4989896	0.003813939	0.00200417	1.53185e-05	0.995975	0.00761256	0.00401645	1.99598	4.602364	0.0448583	22.2924	0.49899	0.00381394	0.02486126	0.0248613	0.0248613	0.5769083	0.03416024	0.10414	0.00616642	1.04968	0.0621541	0.180514	1.81949	1.712775	0.314979	3.17481	0.576908	0.0341602	0.00581686	0.0123358
51	-2111.134	-2113.276	2.142104	0.4896969	0.00503561	0.0168426	0.000173194	0.962551	0.00989803	0.0343939	1.96561	2.999064	0.13228	7.55975	0.489697	0.00503561	0.02981047	0.0298105	0.0298105	0.5769083	0.004327885	0.104809	0.000786266	1.04901	0.0078695	0.181674	1.81833	1.707554	0.31609	3.16365	0.576908	0.00432789	0.0081937	0.0123358
52	-2111.928	-2115.851	3.923005	0.4406531	0.2044194	0.0151558	0.00703079	0.86615	0.401808	0.0343939	1.96561	2.999064	0.13228	7.55975	0.440653	0.204419	0.02097354	0.0209735	0.0209735	0.5682105	0.0009377235	0.0978121	0.00016142	1.03861	0.00171403	0.172141	1.82786	1.75139	0.306881	3.25859	0.56821	0.000937723	0.00861372	0.000790345
53	-2116.225	-2112.319	-3.906209	0.4285432	0.2044194	0.0147393	0.00703079	0.842347	0.401808	0.0343939	1.96561	2.999064	0.13228	7.55975	0.428543	0.204419	0.03638355	0.0363836	0.0363836	0.5279844	0.1409698	0.0908876	0.0242666	0.965081	0.257673	0.172141	1.82786	1.75139	0.306881	3.25859	0.527984	0.14097	0.00861372	0.000279901
