Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
43	-516.2427	-535.9198	19.67707	0.001798712	1.595983e-05	0.000504878	4.47974e-06	0.00309255	2.74399e-05	0.280689	1.71931	1.343559	0.40405	2.47494	0.00179871	1.59598e-05	0.0103336	0.0103336	0.0103336	0.222196	0.0359694	0.51629	0.225545	0.16128	0.02228495	0.14289	0.0197439	0.17967	0.024826	0.885973	1.11403	0.1697956	0.891789	1.12134	0.16128	0.0222849	0.0399758	0.0186461
44	-514.0746	-535.1157	21.04108	0.0001740145	8.32414e-06	4.88439e-05	2.33649e-06	0.000299185	1.43118e-05	0.280689	1.71931	1.343559	0.40405	2.47494	0.000174015	8.32414e-06	0.002920267	0.00292027	0.00292027	0.223234	0.0377788	0.502097	0.23689	0.1396479	0.05796065	0.130476	0.0541539	0.14882	0.0617674	0.934322	1.06568	0.09751413	0.936344	1.06798	0.139648	0.0579606	0.040506	0.0400523
45	-522.0007	-535.032	13.03137	0.001530381	0.0001398188	0.000109852	1.00363e-05	0.00295091	0.000269601	0.0717808	1.92822	2.439425	0.192942	5.18291	0.00153038	0.000139819	0.01090067	0.0109007	0.0109007	0.269391	0.0455902	0.424821	0.260198	0.1396479	0.05212408	0.130476	0.0487007	0.14882	0.0555475	0.934322	1.06568	0.09751413	0.936344	1.06798	0.139648	0.0521241	0.0517184	0.0403768
46	-518.3319	-534.5344	16.20249	0.000569934	0.0001398188	0.000347994	8.53716e-05	0.000791874	0.000194266	0.610587	1.38941	0.6095093	0.662915	1.50849	0.000569934	0.000139819	0.02779463	0.0277946	0.0277946	0.307038	0.0427253	0.40639	0.243846	0.1396479	0.05212408	0.122004	0.0455385	0.157292	0.0587097	0.873656	1.12634	0.1883244	0.880714	1.13544	0.139648	0.0521241	0.0517184	0.0355716
47	-514.4365	-536.4841	22.0476	5.223038e-05	8.686889e-06	3.0214e-05	5.02515e-06	7.42468e-05	1.23486e-05	0.578475	1.42152	0.666496	0.637919	1.5676	5.22304e-05	8.68689e-06	0.02779463	0.0277946	0.0277946	0.356148	0.0123615	0.394674	0.236816	0.1179787	0.06596038	0.103073	0.0576267	0.132885	0.0742941	0.873656	1.12634	0.1883244	0.880714	1.13544	0.117979	0.0659604	0.0386459	0.0355716
48	-515.0733	-535.4722	20.39888	0.0001676976	8.686889e-06	2.71509e-05	1.40644e-06	0.000308244	1.59673e-05	0.161904	1.8381	1.800979	0.296787	3.36942	0.000167698	8.68689e-06	0.004784038	0.00478404	0.00478404	0.361002	0.0135855	0.390875	0.234537	0.1355019	0.03859126	0.118382	0.0337155	0.152622	0.043467	0.873656	1.12634	0.1883244	0.880714	1.13544	0.135502	0.0385913	0.0386459	0.0422273
49	-524.1136	-535.4348	11.32128	0.01143295	0.00444542	0.00361215	0.00140449	0.0192538	0.00748635	0.315942	1.68406	1.240496	0.433137	2.30874	0.011433	0.00444542	0.001165187	0.00116519	0.00116519	0.361002	0.0135855	0.390875	0.234537	0.1730248	0.04028346	0.151164	0.0351939	0.194885	0.045373	0.873656	1.12634	0.1883244	0.880714	1.13544	0.173025	0.0402835	0.0421137	0.0312506
50	-517.1559	-539.0022	21.84629	7.002092e-05	0.0002801733	3.40403e-05	0.000136205	0.000106002	0.000424142	0.486145	1.51386	0.8420498	0.566684	1.76465	7.00209e-05	0.000280173	0.00179801	0.00179801	0.00179801	0.351026	0.01321	0.380074	0.25569	0.1296735	0.01930096	0.11329	0.0168624	0.146057	0.0217395	0.873656	1.12634	0.1883244	0.880714	1.13544	0.129674	0.019301	0.0265066	0.0312506
51	-516.827	-534.6577	17.83074	0.0006204248	0.0002801733	0.000544491	0.000245883	0.000696358	0.000314463	0.877611	1.12239	0.1823689	0.884258	1.13089	0.000620425	0.000280173	0.01415403	0.014154	0.014154	0.335457	0.0126241	0.363216	0.288702	0.1413171	0.05308274	0.119491	0.0448842	0.163143	0.0612813	0.845552	1.15445	0.2308325	0.855821	1.16847	0.141317	0.0530827	0.0394851	0.0337074
52	-518.1664	-536.1612	17.99484	9.072148e-05	0.001541512	5.93288e-05	0.0010081	0.000122114	0.00207493	0.653966	1.34603	0.535117	0.697027	1.43466	9.07215e-05	0.00154151	0.02073976	0.0207398	0.0207398	0.335457	0.0126241	0.363216	0.288702	0.1804315	0.05308274	0.104451	0.0307293	0.256412	0.0754361	0.578895	1.4211	0.6657391	0.638244	1.5668	0.180431	0.0530827	0.0394851	0.0032975
53	-517.4265	-537.275	19.84843	0.001363905	2.187461e-05	0.000845944	1.35674e-05	0.00188187	3.01818e-05	0.620237	1.37976	0.5927189	0.670466	1.4915	0.00136391	2.18746e-05	0.004365529	0.00436553	0.00436553	0.348644	0.0131204	0.338185	0.300051	0.2469932	0.0276137	0.142983	0.0159854	0.351003	0.039242	0.578895	1.4211	0.6657391	0.638244	1.5668	0.246993	0.0276137	0.049709	0.00840211
54	-511.7517	-536.2009	24.44922	5.949221e-05	2.187461e-05	5.34612e-05	1.96571e-05	6.55232e-05	2.40921e-05	0.898626	1.10137	0.1508158	0.903279	1.10708	5.94922e-05	2.18746e-05	0.00215571	0.00215571	0.00215571	0.357568	0.0148129	0.288861	0.338758	0.1197211	0.01979943	0.069306	0.0114618	0.170136	0.0281371	0.578895	1.4211	0.6657391	0.638244	1.5668	0.119721	0.0197994	0.0481601	0.0174584
55	-515.8194	-535.8373	20.01785	6.28542e-06	2.187461e-05	5.64824e-06	1.96571e-05	6.9226e-06	2.40921e-05	0.898626	1.10137	0.1508158	0.903279	1.10708	6.28542e-06	2.18746e-05	0.01900952	0.0190095	0.0190095	0.33156	0.0137355	0.340587	0.314118	0.1272998	0.01979943	0.0804167	0.0125075	0.174183	0.0270913	0.631712	1.36829	0.5729387	0.679471	1.47173	0.1273	0.0197994	0.0481601	0.105982
56	-516.6616	-534.3177	17.65609	2.586609e-05	0.002704716	2.32439e-05	0.00243053	2.84882e-05	0.0029789	0.898626	1.10137	0.1508158	0.903279	1.10708	2.58661e-05	0.00270472	0.01391185	0.0139119	0.0139119	0.28309	0.0149499	0.370699	0.33126	0.1207705	0.05822458	0.0606717	0.0292504	0.180869	0.0871988	0.502372	1.49763	0.8097208	0.579176	1.72659	0.120771	0.0582246	0.0403757	0.0364442
