Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
32	-476.7678	-492.7341	15.96632	3.496439e-05	0.04586755	3.25463e-05	0.0426955	3.73824e-05	0.0490396	0.930843	1.06916	0.1026967	0.933077	1.07172	3.49644e-05	0.0458676	0.01684497	0.016845	0.016845	0.0773796	0.469531	0.164848	0.288242	0.529613	0.03572342	0.243606	0.0164317	0.81562	0.0550151	0.459971	1.54003	0.8957837	0.546513	1.82978	0.529613	0.0357234	0.029532	0.00319908
33	-476.7678	-492.7341	15.96632	3.496439e-05	0.04586755	3.25463e-05	0.0426955	3.73824e-05	0.0490396	0.930843	1.06916	0.1026967	0.933077	1.07172	3.49644e-05	0.0458676	0.01684497	0.016845	0.016845	0.0773796	0.469531	0.164848	0.288242	0.529613	0.03572342	0.243606	0.0164317	0.81562	0.0550151	0.459971	1.54003	0.8957837	0.546513	1.82978	0.529613	0.0357234	0.029532	0.00319908
34	-476.7678	-492.7341	15.96632	3.496439e-05	0.04586755	3.25463e-05	0.0426955	3.73824e-05	0.0490396	0.930843	1.06916	0.1026967	0.933077	1.07172	3.49644e-05	0.0458676	0.01684497	0.016845	0.016845	0.0773796	0.469531	0.164848	0.288242	0.529613	0.03572342	0.243606	0.0164317	0.81562	0.0550151	0.459971	1.54003	0.8957837	0.546513	1.82978	0.529613	0.0357234	0.029532	0.00319908
35	-476.7678	-492.7341	15.96632	3.496439e-05	0.04586755	3.25463e-05	0.0426955	3.73824e-05	0.0490396	0.930843	1.06916	0.1026967	0.933077	1.07172	3.49644e-05	0.0458676	0.01684497	0.016845	0.016845	0.0773796	0.469531	0.164848	0.288242	0.529613	0.03572342	0.243606	0.0164317	0.81562	0.0550151	0.459971	1.54003	0.8957837	0.546513	1.82978	0.529613	0.0357234	0.029532	0.00319908
36	-484.938	-494.7263	9.78832	0.005221284	0.04586755	0.003988	0.0350335	0.00645457	0.0567016	0.763796	1.2362	0.356936	0.786038	1.2722	0.00522128	0.0458676	0.01876324	0.0187632	0.0187632	0.0811174	0.492211	0.17281	0.253861	0.4633734	0.04413401	0.209616	0.0199648	0.717131	0.0683032	0.452369	1.54763	0.9117878	0.540645	1.84964	0.463373	0.044134	0.0409417	0.00458664
37	-487.7838	-496.0867	8.302935	0.01094198	0.0287018	0.00835745	0.0219223	0.0135265	0.0354813	0.763796	1.2362	0.356936	0.786038	1.2722	0.010942	0.0287018	0.04113214	0.0411321	0.0411321	0.0692285	0.566635	0.147483	0.216654	0.5208738	0.04527447	0.220367	0.0191543	0.821381	0.0713946	0.423071	1.57693	0.9753262	0.517965	1.93063	0.520874	0.0452745	0.0409417	0.00458664
38	-483.5087	-496.3876	12.87893	0.01094198	0.0002786077	0.00942782	0.000240054	0.0124562	0.000317162	0.861619	1.13838	0.2064896	0.869989	1.14944	0.010942	0.000278608	0.03390206	0.0339021	0.0339021	0.0692285	0.566635	0.147483	0.216654	0.5208738	0.05415133	0.238812	0.0248275	0.802936	0.0834752	0.458484	1.54152	0.8989	0.545366	1.83363	0.520874	0.0541513	0.0543487	0.00458664
39	-481.9545	-494.4475	12.493	0.003531792	0.001487242	0.0022683	0.000955182	0.00479529	0.0020193	0.64225	1.35775	0.5549422	0.687769	1.45398	0.00353179	0.00148724	0.02838694	0.0283869	0.0283869	0.072379	0.546913	0.154194	0.226514	0.4533838	0.06792154	0.207869	0.0311409	0.698899	0.104702	0.458484	1.54152	0.8989	0.545366	1.83363	0.453384	0.0679215	0.040848	0.00412376
40	-482.3026	-493.9208	11.61824	0.02784092	0.001868286	0.0178808	0.00119991	0.037801	0.00253666	0.64225	1.35775	0.5549422	0.687769	1.45398	0.0278409	0.00186829	0.01291699	0.012917	0.012917	0.072379	0.546913	0.154194	0.226514	0.5885831	0.06399015	0.275885	0.029994	0.901281	0.0979863	0.468728	1.53127	0.8775759	0.553266	1.80745	0.588583	0.0639902	0.0200084	0.00368616
41	-480.1663	-493.9193	13.753	0.010274	0.0004580888	0.0048483	0.000216172	0.0156997	0.000700006	0.4719	1.5281	0.8710394	0.555711	1.7995	0.010274	0.000458089	0.01377831	0.0137783	0.0137783	0.072379	0.546913	0.154194	0.226514	0.4964339	0.03766705	0.213186	0.0161755	0.779682	0.0591586	0.429435	1.57057	0.9612609	0.522902	1.9124	0.496434	0.037667	0.0271642	0.00234163
