Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
34	-104.595	-118.8691	14.27407	0.01004617	3.80355e-05	0.000966062	3.65758e-06	0.0191263	7.24134e-05	0.0961623	1.90384	2.213221	0.224744	4.44951	0.0100462	3.80355e-05	0.009558676	0.00955868	0.00955868	0.301497	0.482183	0.143084	0.0732359	0.04014715	0.1663626	0.0281799	0.116772	0.0521144	0.215953	0.701915	1.29809	0.4557765	0.735344	1.35991	0.0401472	0.166363	0.015378	0.05617
35	-93.67819	-120.3553	26.67712	3.305242e-05	8.977054e-06	2.83539e-05	7.70094e-06	3.77509e-05	1.02532e-05	0.857847	1.14215	0.2121935	0.866648	1.15387	3.30524e-05	8.97705e-06	0.02531693	0.0253169	0.0253169	0.301497	0.482183	0.143084	0.0732359	0.00565654	0.178391	0.00549074	0.173162	0.00582234	0.18362	0.970689	1.02931	0.04346882	0.971106	1.02975	0.00565654	0.178391	0.0192766	0.05617
36	-94.09686	-118.2821	24.18527	3.305242e-05	3.001939e-05	2.83539e-05	2.5752e-05	3.77509e-05	3.42867e-05	0.857847	1.14215	0.2121935	0.866648	1.15387	3.30524e-05	3.00194e-05	0.03233099	0.032331	0.032331	0.37234	0.213091	0.18919	0.225379	0.01471116	0.178391	0.0141696	0.171824	0.0152527	0.184958	0.963185	1.03681	0.05460656	0.963838	1.03752	0.0147112	0.178391	0.0192766	0.0572137
37	-99.07652	-117.9331	18.85662	1.039708e-05	0.06126334	9.16511e-06	0.0540041	1.1629e-05	0.0685225	0.881508	1.11849	0.1765052	0.887763	1.12643	1.03971e-05	0.0612633	0.00561357	0.00561357	0.00561357	0.37234	0.213091	0.18919	0.225379	0.01471116	0.178391	0.0145654	0.176624	0.0148569	0.180158	0.990092	1.00991	0.01468977	0.990141	1.00996	0.0147112	0.178391	0.0198084	0.0572137
38	-98.79551	-118.6108	19.81531	0.000127014	0.004068398	8.6446e-05	0.00276896	0.000167582	0.00536784	0.680602	1.3194	0.4907064	0.718222	1.39233	0.000127014	0.0040684	0.01607745	0.0160775	0.0160775	0.408514	0.233793	0.20757	0.150123	0.01419278	0.1530188	0.0140522	0.151503	0.0143334	0.154535	0.990092	1.00991	0.01468977	0.990141	1.00996	0.0141928	0.153019	0.00653701	0.031548
39	-96.73351	-117.4305	20.69695	3.731348e-06	0.02500388	3.54009e-06	0.0237223	3.9226e-06	0.0262855	0.948743	1.05126	0.07605971	0.949992	1.05264	3.73135e-06	0.0250039	0.0004597027	0.000459703	0.000459703	0.103749	0.180303	0.0609616	0.654987	0.02792124	0.1362201	0.0272491	0.132941	0.0285934	0.139499	0.975927	1.02407	0.03569789	0.97621	1.02437	0.0279212	0.13622	0.00653701	0.0716021
40	-90.65119	-117.2068	26.55564	3.731348e-06	0.0001550483	3.36493e-06	0.000139822	4.09777e-06	0.000170274	0.901799	1.0982	0.1460635	0.906179	1.10353	3.73135e-06	0.000155048	0.0004138483	0.000413848	0.000413848	0.103749	0.180303	0.0609616	0.654987	0.01254642	0.1339348	0.0122444	0.130711	0.0128484	0.137159	0.975927	1.02407	0.03569789	0.97621	1.02437	0.0125464	0.133935	0.0120331	0.0641253
41	-92.68394	-117.3687	24.68471	1.942909e-06	0.00166418	1.70538e-06	0.00146073	2.18044e-06	0.00186763	0.877745	1.12225	0.1821661	0.884379	1.13074	1.94291e-06	0.00166418	0.0004138483	0.000413848	0.000413848	0.23926	0.269073	0.0909756	0.400692	0.01254642	0.1947186	0.0119546	0.185533	0.0131383	0.203904	0.952827	1.04717	0.06999147	0.953888	1.04834	0.0125464	0.194719	0.00604902	0.0611685
42	-101.1942	-119.0054	17.81118	1.096035e-05	0.003986867	5.41552e-06	0.00196992	1.65052e-05	0.00600382	0.494101	1.5059	0.8261099	0.572809	1.74578	1.09604e-05	0.00398687	0.02478064	0.0247806	0.0247806	0.135243	0.331728	0.476831	0.0561968	0.02707775	0.2415579	0.0146171	0.130398	0.0395384	0.352718	0.539821	1.46018	0.7376512	0.608026	1.64467	0.0270778	0.241558	0.00903525	0.0611685
43	-94.48751	-119.1563	24.6688	7.839968e-06	4.666404e-05	4.25072e-06	2.53006e-05	1.14292e-05	6.80275e-05	0.542185	1.45781	0.7332102	0.60985	1.63975	7.83997e-06	4.6664e-05	0.013657	0.013657	0.013657	0.135243	0.331728	0.476831	0.0561968	0.01060804	0.2415579	0.00779412	0.177481	0.013422	0.305634	0.734736	1.26526	0.4029149	0.762036	1.31227	0.010608	0.241558	0.00950756	0.0611685
