Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Ctenomys_osvaldoreigi,Rodentia,Ctenomyidae,Ctenomys,osvaldoreigi,,,,,,,,,
Ctenomys_pearsoni,Rodentia,Ctenomyidae,Ctenomys,pearsoni,,,,,,,,,
Ctenomys_perrensi,Rodentia,Ctenomyidae,Ctenomys,perrensi,,,,,,,,,
Ctenomys_peruanus,Rodentia,Ctenomyidae,Ctenomys,peruanus,,Y,0,0,0,,,,
Ctenomys_pilarensis,Rodentia,Ctenomyidae,Ctenomys,pilarensis,,,,,,,,,
Ctenomys_pontifex,Rodentia,Ctenomyidae,Ctenomys,pontifex,,,,,,,,,
Ctenomys_porteousi,Rodentia,Ctenomyidae,Ctenomys,porteousi,,,,,,,,,
Ctenomys_pundti,Rodentia,Ctenomyidae,Ctenomys,pundti,,,,,,,,,
Ctenomys_rionegrensis,Rodentia,Ctenomyidae,Ctenomys,rionegrensis,,,,,,,,,
Ctenomys_roigi,Rodentia,Ctenomyidae,Ctenomys,roigi,,,,,,,,,
Ctenomys_saltarius,Rodentia,Ctenomyidae,Ctenomys,saltarius,,,,,,,,,
Ctenomys_scagliai,Rodentia,Ctenomyidae,Ctenomys,scagliai,,,,,,,,,
Ctenomys_sericeus,Rodentia,Ctenomyidae,Ctenomys,sericeus,,,,,,,,,
Ctenomys_sociabilis,Rodentia,Ctenomyidae,Ctenomys,sociabilis,,Y,0,0,0,,,,
Ctenomys_steinbachi,Rodentia,Ctenomyidae,Ctenomys,steinbachi,,,,,,,,,
Ctenomys_sylvanus,Rodentia,Ctenomyidae,Ctenomys,sylvanus,,,,,,,,,
Ctenomys_talarum,Rodentia,Ctenomyidae,Ctenomys,talarum,,Y,0,0,0,,,,
Ctenomys_torquatus,Rodentia,Ctenomyidae,Ctenomys,torquatus,,,,,,,,,
Ctenomys_tuconax,Rodentia,Ctenomyidae,Ctenomys,tuconax,,,,,,,,,
Ctenomys_tucumanus,Rodentia,Ctenomyidae,Ctenomys,tucumanus,,,,,,,,,
Ctenomys_tulduco,Rodentia,Ctenomyidae,Ctenomys,tulduco,,,,,,,,,
Ctenomys_validus,Rodentia,Ctenomyidae,Ctenomys,validus,,,,,,,,,
Ctenomys_viperinus,Rodentia,Ctenomyidae,Ctenomys,viperinus,,,,,,,,,
Ctenomys_yolandae,Rodentia,Ctenomyidae,Ctenomys,yolandae,,,,,,,,,
Amblyrhiza_inundata,Rodentia,Echimyidae,Amblyrhiza,inundata,,,,,,,,,
Boromys_offella,Rodentia,Echimyidae,Boromys,offella,,,,,,,,,
Boromys_torrei,Rodentia,Echimyidae,Boromys,torrei,,,,,,,,,
Brotomys_voratus,Rodentia,Echimyidae,Brotomys,voratus,,,,,,,,,
Callistomys_pictus,Rodentia,Echimyidae,Callistomys,pictus,,,,,,,,,
Capromys_garridoi,Rodentia,Echimyidae,Capromys,garridoi,,,,,,,,,
Capromys_pilorides,Rodentia,Echimyidae,Capromys,pilorides,,,,,,,,,
Carterodon_sulcidens,Rodentia,Echimyidae,Carterodon,sulcidens,,,,,,,,,
Clyomys_laticeps,Rodentia,Echimyidae,Clyomys,laticeps,,Y,0,0,0,,,,
Dactylomys_boliviensis,Rodentia,Echimyidae,Dactylomys,boliviensis,,,,,,,,,
Dactylomys_dactylinus,Rodentia,Echimyidae,Dactylomys,dactylinus,,,,,,,,,
Dactylomys_peruanus,Rodentia,Echimyidae,Dactylomys,peruanus,,,,,,,,,
Diplomys_caniceps,Rodentia,Echimyidae,Diplomys,caniceps,,,,,,,,,
Diplomys_labilis,Rodentia,Echimyidae,Diplomys,labilis,,,,,,,,,
Echimys_chrysurus,Rodentia,Echimyidae,Echimys,chrysurus,,Y,0,0,0,,,,
Echimys_saturnus,Rodentia,Echimyidae,Echimys,saturnus,,,,,,,,,
Echimys_vieirai,Rodentia,Echimyidae,Echimys,vieirai,,,,,,,,,
Euryzygomatomys_spinosus,Rodentia,Echimyidae,Euryzygomatomys,spinosus,,,,,,,,,
Geocapromys_brownii,Rodentia,Echimyidae,Geocapromys,brownii,,,,,,,,,
Geocapromys_columbianus,Rodentia,Echimyidae,Geocapromys,columbianus,,,,,,,,,
Geocapromys_ingrahami,Rodentia,Echimyidae,Geocapromys,ingrahami,,Y,0,0,0,,,,
Geocapromys_spA,Rodentia,Echimyidae,Geocapromys,spA,,,,,,,,,
Geocapromys_thoracatus,Rodentia,Echimyidae,Geocapromys,thoracatus,,,,,,,,,
Heteropsomys_insulans,Rodentia,Echimyidae,Heteropsomys,insulans,,,,,,,,,
Hexolobodon_phenax,Rodentia,Echimyidae,Hexolobodon,phenax,,,,,,,,,
HexolobodontinaeGen_spA,Rodentia,Echimyidae,HexolobodontinaeGen,spA,,,,,,,,,
Hoplomys_gymnurus,Rodentia,Echimyidae,Hoplomys,gymnurus,,,,,,,,,
