Species,Common_Name,GP,BM,AFM,MR,RDM,TSP,PC,FWA,FAM,MAM,NB,SDT,GL,SPI,NAC,GIM,GFE,MMC,BG,MGS,DHE,DCA,DPMI,DIN,DFR,DGR,DCE,DMOC,IUCN,SOG,Modifiers,FSSB,MSSB,SSB,Column Name Key,Mating Group Structures Key
Macaca_arctoides,Stump-tailed Macaque,5.9,0.495,8.1430,0.06078840722,N,Y,1.0,12.0,42.0,48.0,Y,,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,VU,,SS,1,1,1,,
Macaca_fascicularis,Crab-eating Macaque,5.5,0.33285,3.5880,0.09276755853,N,Y,1.0,15.0,42.6,66.0,N,Y,Y,N,N,Y,N,Y,N,MMG,Y,N,Y,Y,Y,N,N,Y,EN,,,1,1,1,,
Macaca_fuscata,Japanese Macaque,5.8,0.542,10.3480,0.05237727097,N,Y,1.2,8.8,60.0,54.0,N,Y,Y,N,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,Y,LC,,,1,1,1,,
Macaca_mulatta,Rhesus Monkey,5.5,0.4894,5.3390,0.09166510583,N,Y,1.0,9.9,54.0,78.0,N,Y,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,LC,,SS,1,1,1,,
Macaca_nemestrina,Southern Pig-tailed Macaque,5.7,0.47725,6.5000,0.07342307692,Y,Y,1.0,10.8,36.0,54.0,Y,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,Y,Y,Y,N,N,EN,,SS,1,1,1,,
Macaca_nigra,Celebes Crested Macaque,5.7,0.45777,6.7000,0.0683238806,N,Y,1.0,12.2,56.9,,Y,N,Y,N,N,Y,N,Y,N,MMG,N,N,N,Y,Y,N,N,Y,CR,,SS,1,1,1,,
Macaca_radiata,Bonnet Macaque,5.4,0.36752,3.8510,0.09543495196,N,Y,1.0,10.0,36.0,36.0,N,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,VU,,,1,1,1,,
Macaca_silenus,Lion-tailed Macaque,5.8,0.41611,3.5000,0.1188885714,N,Y,1.0,9.0,50.8,96.0,Y,N,Y,N,N,Y,N,Y,N,MMG,Y,Y,N,Y,Y,Y,N,N,EN,,SH,1,1,1,,
Macaca_sylvanus,Barbary Macaque,5.5,0.44985,11.9000,0.03780252101,N,Y,1.0,7.0,48.6,66.9,N,N,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,N,Y,Y,N,Y,EN,,,1,1,1,,
Macaca_tonkeana,Tonkean Macaque,5.7,,9.5000,,N,Y,1.0,,54.0,,N,N,Y,Y,Y,Y,N,Y,N,MMG,Y,N,N,Y,Y,N,N,N,VU,,,1,1,1,,
Notamacropus_eugenii,Tammar Wallaby,0.9,0.00044,5.0000,0.000088,N,Y,1.0,10.5,9.0,24.3,N,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,N,N,N,N,LC,,,0,0,1,,
Macropus_fuliginosus,Western Grey Kangaroo,1.0,0.00086,28.0000,0.00003071428571,Y,Y,1.0,17.5,14.0,20.0,Y,N,Y,N,N,Y,N,Y,Y,MBG,Y,N,N,N,N,N,N,N,LC,,SS,0,1,1,,
Macropus_giganteus,Eastern Grey Kangaroo,1.2,0.00084,30.0000,0.000028,Y,Y,1.0,17.0,18.0,42.0,Y,N,Y,N,N,Y,N,Y,Y,MBG,Y,N,N,N,N,N,N,N,LC,,SS,1,1,1,,
Osphranter_robustus,Common Wallaroo,1.1,0.0007,24.0000,0.00002916666667,Y,Y,1.0,16.0,14.0,18.0,Y,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,Y,"OG, SMG",0,0,1,,
Notamacropus_rufogriseus,Red-necked Wallaby,1.0,0.00053,13.5000,0.00003925925926,N,Y,1.0,15.5,13.0,19.0,Y,N,N,N,N,N,N,N,N,SO,Y,N,N,N,N,N,N,N,LC,Y,"SMG, OG",1,1,1,,
Osphranter_rufus,Red Kangaroo,1.1,0.00081,28.0000,0.00002892857143,Y,Y,1.0,12.0,15.0,24.0,Y,N,Y,N,N,Y,N,Y,N,MMG,Y,N,N,N,N,N,N,N,LC,,SS,0,1,1,,
Marmota_marmota,Alpine Marmot,1.1,0.02974,3.7000,0.008037837838,N,N,4.0,1.6,27.6,24.3,N,Y,Y,Y,Y,Y,N,N,N,HAR,Y,N,N,N,N,Y,N,Y,LC,,SS,0,0,0,,
Marmota_monax,Woodchuck,1.0,0.02719,3.7000,0.007348648649,N,N,4.3,1.5,18.1,18.3,N,Y,N,N,N,N,N,N,N,SO,Y,N,N,N,Y,Y,N,Y,LC,N,,0,0,0,,
Martes_americana,American Marten,0.9,0.028,0.5650,0.04955752212,Y,N,2.6,1.5,15.2,15.2,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,Y,Y,N,N,N,LC,N,DI,0,0,0,,
Martes_foina,Beech Marten,1.0,0.03,1.7000,0.01764705882,N,N,3.8,2.4,18.3,24.3,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,Y,Y,N,N,N,LC,N,DI,0,0,0,,
Martes_martes,European Pine Marten,1.0,0.03,1.1000,0.02727272727,N,N,3.5,1.7,16.9,14.2,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,Y,Y,N,N,N,LC,N,DI,1,1,1,,
Martes_pennanti,Fisher,1.0,0.05,2.2500,0.02222222222,Y,N,3.0,2.6,13.8,12.2,N,Y,N,N,N,N,N,N,N,SO,N,Y,N,Y,Y,N,N,N,LC,N,DI,0,0,0,,
Mastomys_natalensis,Natal Mastomys,0.7,0.00198,0.0565,0.03504424779,N,N,8.9,0.7,2.4,2.2,N,N,N,N,N,N,N,N,N,SO,Y,N,N,Y,N,Y,Y,N,LC,N,,0,0,0,,
