Species,Common Name,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Fully Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Nonseasonal Breeding?,Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation,Modifiers,Base Social Form,Modifier,Full Sociality,Species,Female_Homosexuality,Male_Homosexuality,SSB,Solitary,Social_monogamy,Group_living
Petaurus breviceps,Sugar Glider,0.6,0.00018,0.0975,N,N,1.8,4.0,9.3,15.2,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Petaurus_breviceps,0,0,0,No,No,Yes
Phacochoerus aethiopicus,Desert Warthog,5.5,0.69195,50.0000,Y,N,3.2,3.5,19.9,21.0,,,,,,,,,Y,N,N,N,Y,Y,Y,Y,LC,,,,,Phacochoerus_aethiopicus,1,1,1,No,No,Yes
Phacochoerus africanus,Common Warthog,5.5,0.6600,62.5000,Y,N,2.5,2.8,18.0,18.0,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,LC,SS,Segregated Sexes,,Segregated Sexes,Phacochoerus_africanus,0,0,0,No,No,Yes
Pagophilus groenlandicus,Harp Seal,8.1,4,127.0000,N,Y,1.0,0.4,66.0,90.0,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC,"DI, MA, AS, OG",Multimale-Multifemale," in mating aggregations, generally solitary with minor groupings outside them","Multimale-Multifemale in mating aggregations, generally solitary with minor groupings outside them",Phoca_groenlandica,0,0,0,No,No,Yes
Phoca vitulina,Harbor Seal,8.5,10.5,100.0000,N,Y,1.0,0.8,54.0,72.0,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC,"DI, AS",Multimale-Multifemale,,Multimale-Multifemale,Phoca_vitulina,1,1,1,No,No,Yes
Phocarctos hookeri,New Zealand Sealion,8.5,7.0000,127.5000,Y,Y,1.0,11.0,42.0,,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,EN,"DI, MA, AS, OG",Multimale-Multifemale," in mating aggregations, generally solitary with minor groupings outside them","Multimale-Multifemale in mating aggregations, generally solitary with minor groupings outside them",Phocarctos_hookeri,1,1,1,No,No,Yes
Phocoena phocoena,Harbor Porpoise,10.5,7.5,60.0000,N,Y,1.0,10.4,39.2,44.7,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Phocoena_phocoena,1,1,1,Yes,No,No
Phocoenoides dalli,Dall's Porpoise,11.3,11.3,105.0000,Y,Y,1.0,10.1,49.2,57.0,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Phocoenoides_dalli,0,0,0,Yes,No,No
Phodopus sungorus,Striped Desert Hamster,0.6,0.00204,0.0235,N,N,5.7,0.7,1.4,1.4,N,Y,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC,,Monogamous,,Monogamous,Phodopus_sungorus,0,0,0,Yes,No,No
Phyllostomus hastatus,Greater Spear-nosed Bat,4.1,0.01594,0.0950,N,Y,1.0,2.4,16.0,,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,LC,MC,Harem,,Harem,Phyllostomus_hastatus,0,0,0,No,No,Yes
Physeter macrocephalus,Sperm Whale,15.3,1000,15000.0000,Y,Y,1.0,24.0,108.0,210.0,N,N,Y,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,VU,SS,Segregated Sexes,,Segregated Sexes,Physeter_macrocephalus,0,1,1,No,No,Yes
Pipistrellus kuhlii,Kuhl's Pipistrelle,1.5,*0.001575,0.0075,N,N,1.7,2.0,4.0,,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC,"MC, DI",Multimale-Multifemale,,Multimale-Multifemale,Pipistrellus_kuhlii,0,0,0,Yes,No,No
Pipistrellus nathusii,Nathusius's Pipistrelle,,*0.00231,0.0110,N,N,1.7,,3.5,3.5,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC,"MA, OG, MC, DI",Multimale-Multifemale," in mating aggregations, generally solitary with minor groupings outside them","Multimale-Multifemale in mating aggregations, generally solitary with minor groupings outside them",Pipistrellus_nathusii,0,0,0,No,No,Yes
Pipistrellus pipistrellus,Common Pipistrelle,1.5,0.00128,0.0065,N,N,1.4,1.2,13.0,24.0,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC,"AS, SS, MC, DI",Multimale-Multifemale,,Multimale-Multifemale,Pipistrellus_pipistrellus,0,1,1,No,No,Yes
Pipistrellus pygmaeus,Soprano Pipistrelle,1.4,0.0011,0.0060,N,N,"1,7",1.4,5.5,15.2,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC,"MC, DI",Solitary,,Solitary,Pipistrellus_pygmaeus,0,0,0,No,No,Yes
Plecotus auritus,Brown Long-eared Bat,2.2,0.00209,0.0080,N,N,1.2,1.4,11.7,12.2,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,LC,"SMG, MC",Female exclusive groups,,Female exclusive groups,Plecotus_auritus,0,1,1,No,No,Yes
Pongo abelii,Sumatran Orangutan,8.5,1.6719,37.5000,Y,Y,1.1,84.0,126.0,144.0,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,CR,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Pongo_abelii,1,1,1,Yes,No,No
Pongo pygmaeus,Bornean Orangutan,8.5,1.6442,37.5000,Y,Y,1.1,84.0,126.0,144.0,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,CR,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Pongo_pygmaeus,1,1,1,Yes,No,No
Potamochoerus porcus,Red River Hog,4.1,0.75,60.0000,Y,N,3.0,3.0,21.0,21.0,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,LC,,Harem,,Harem,Potamochoerus_porcus,0,0,0,No,No,Yes
Prionailurus bengalensis,Leopard Cat,2.2,0.102,4.1000,N,N,2.5,,10.0,10.0,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,LC,,Solitary,,Solitary,Prionailurus_bengalensis,0,0,0,Yes,No,No
Procavia capensis,Rock Hyrax,7.6,0.195,3.6000,N,N,2.5,3.0,16.7,16.7,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,LC,SS,Harem,,Harem,Procavia_capensis,0,0,0,No,No,Yes
Piliocolobus badius,Western Red Colobus,6.6,,7.5000,N,Y,1.0,25.0,49.4,49.1,Y,,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,EN,,Multimale-Multifemale,,Multimale-Multifemale,Procolobus_badius,0,0,1,No,No,Yes
Procyon lotor,Raccoon,2.1,0.08246,5.5500,N,N,3.1,3.8,12.2,12.2,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Procyon_lotor,1,1,1,Yes,No,No
Propithecus diadema,Diademed Sifaka,6.0,0.13499,6.2500,N,Y,1.0,8.7,54.0,56.1,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,CR,,Multimale-Multifemale,,Multimale-Multifemale,Propithecus_diadema,0,0,0,No,No,Yes
Propithecus verreauxi,Verreaux's Sifaka,5.5,0.10265,2.9000,N,Y,1.0,5.9,31.5,30.4,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,CR,,Multimale-Multifemale,,Multimale-Multifemale,Propithecus_verreauxi,1,1,1,No,No,Yes
Psammomys obesus,Fat Sand Rat,0.8,0.0062,0.1450,N,N,4.8,0.5,4.5,4.5,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC,,Solitary,,Solitary,Psammomys_obesus,0,0,0,Yes,No,No
Pseudocheirus peregrinus,Common Ringtail Possum,0.7,0.00029,0.9500,N,N,1.9,6.0,13.0,12.5,Y,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,LC,MC,Monogamous,,Monogamous,Pseudocheirus_peregrinus,0,0,0,No,No,Yes
Pseudorca crassidens,False Killer Whale,15.4,80,1050.0000,Y,Y,1.0,18.3,104.0,112.0,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,NT,,Multimale-Multifemale,,Multimale-Multifemale,Pseudorca_crassidens,0,0,0,No,No,Yes
Pteronura brasiliensis,Giant Otter,2.3,0.20425,24.0000,N,N,2.1,9.0,24.3,24.3,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,EN,"DI, SS",Harem,,Harem,Pteronura_brasiliensis,0,0,0,No,Yes,No
Pteropus poliocephalus,Gray-headed Flying Fox,6.3,0.07,0.8000,N,Y,1.0,3.5,17.9,18.0,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,VU,SH,Multimale-Multifemale,,Multimale-Multifemale,Pteropus_poliocephalus,1,1,1,No,No,Yes
Puma concolor,Cougar,3.1,0.6,41.0000,N,N,2.8,1.6,20.0,24.0,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC,,Solitary,,Solitary,Puma_concolor,1,0,1,Yes,No,No
Rangifer tarandus,Reindeer,7.6,6.5,82.5000,Y,N,1.5,4.3,23.2,22.7,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,VU,,Segregated Sexes,,Segregated Sexes,Rangifer_tarandus,1,1,1,No,No,Yes
Raphicerus campestris,Steenbok,5.7,0.92,11.4500,Y,Y,1.0,3.0,6.5,8.1,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC,AS,Solitary,,Solitary,Raphicerus_campestris,0,0,0,No,Yes,No
Rattus exulans,Pacific Rat,0.8,0.00243,0.0410,N,N,3.7,0.6,3.0,,Y,,,,,,,,Y,N,N,Y,Y,Y,Y,Y,LC,,,,,Rattus_exulans,0,0,0,No,No,Yes
Rattus fuscipes,Australian Bush Rat,0.8,0.00424,0.1250,N,N,4.6,0.7,4.0,4.0,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,LC,DI,Monogamous,,Monogamous,Rattus_fuscipes,0,0,0,Yes,No,No
Rattus norvegicus,Brown Rat,0.7,0.0058,0.3700,N,N,5.0,1.0,2.8,3.1,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Rattus_norvegicus,1,1,1,No,No,Yes
Rattus rattus,Roof Rat,0.7,0.00453,0.1920,N,N,5.9,1.0,3.4,3.7,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Rattus_rattus,0,0,0,No,No,Yes
Rhabdomys pumilio,Xeric Four-striped Grass Rat,0.8,0.0025,0.0390,N,N,5.6,0.5,1.5,2.5,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,LC,,Solitary,,Solitary,Rhabdomys_pumilio,0,0,0,Yes,No,No
Rhinolophus ferrumequinum,Greater Horseshoe Bat,2.1,0.00564,0.0285,N,Y,1.0,1.7,36.0,36.0,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,LC,"SH, AS, DI, MC",Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Rhinolophus_ferrumequinum,0,1,1,No,No,Yes
Rhinopithecus roxellana,Golden Snub-nosed Monkey,6.6,,8.0000,Y,Y,1.0,,60.0,60.0,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,EN,,Harem with bachelor groups,,Harem with bachelor groups,Rhinopithecus_roxellana,1,1,1,No,No,Yes
Rousettus aegyptiacus,Egyptian Rousette,3.5,0.021,0.1340,N,Y,1.1,2.4,12.2,12.2,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,LC,MC,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Rousettus_aegyptiacus,0,0,0,No,No,Yes
Rupicapra pyrenaica,Pyrenean Chamois,5.6,2.4000,26.0000,N,Y,1.0,2.5,22.5,22.3,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC,,Harem with bachelor groups,,Harem with bachelor groups,Rupicapra_pyrenaica,0,1,1,Yes,No,No
Rupicapra rupicapra,Alpine Chamois,5.6,2.25,33.0000,N,Y,1.0,2.5,22.5,22.3,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,,Harem,,Harem,Rupicapra_rupicapra,0,0,0,Yes,No,No
Saguinus mystax,Moustached Tamarin,5.1,0.04665,0.5050,N,N,1.9,5.7,17.4,18.0,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Saguinus_mystax,1,1,1,No,Yes,No
Saguinus oedipus,Cottontop Tamarin,6.1,0.041,0.4041,N,N,1.9,1.7,18.6,16.9,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,CR,SH,Multimale-Multifemale,,Multimale-Multifemale,Saguinus_oedipus,1,1,1,No,Yes,No
Saiga tatarica,Steppe Saiga,4.7,3.4,31.1500,Y,N,1.5,4.0,7.0,19.0,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,NT,,Multimale-Multifemale,,Multimale-Multifemale,Saiga_tatarica,0,0,0,No,No,Yes
Saimiri sciureus,Common Squirrel Monkey,5.2,0.1075,0.8750,N,Y,1.0,5.9,30.0,54.0,N,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Saimiri_sciureus,1,1,1,No,No,Yes
Sarcophilus harrisii,Tasmanian Devil,0.7,0.000005,7.0000,Y,N,2.9,8.0,24.4,24.3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,EN,,Solitary,,Solitary,Sarcophilus_harrisii,0,0,1,Yes,No,No
Sciurus carolinensis,Eastern Gray Squirrel,1.5,0.01517,0.5050,N,N,3.0,2.3,11.3,13.4,N,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,LC,"SMG, SS",Segregated Sexes,,Segregated Sexes,Sciurus_carolinensis,1,1,1,Yes,No,No
Sciurus niger,Eastern Fox Squirrel,1.5,0.0150,0.9500,N,N,3.0,2.8,11.9,11.8,N,Y,Y,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,LC,"SMG, AS, SS",Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Sciurus_niger,0,0,0,Yes,No,No
Sciurus vulgaris,Eurasian Red Squirrel,1.3,0.00883,0.3575,N,N,4.5,2.3,10.0,10.1,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,LC,"SMG, AS, SS",Multimale-Multifemale,,Multimale-Multifemale,Sciurus_vulgaris,0,0,0,Yes,No,No
Semnopithecus entellus,Northern Plains Gray Langur,6.6,0.49983,12.8000,N,Y,1.0,12.5,48.0,48.0,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,LC,"SS, SH",Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Semnopithecus_entellus,1,1,1,No,No,Yes
Setonix brachyurus,Quokka,0.9,0.00036,2.5000,N,Y,1.0,8.3,9.0,13.0,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,VU,"OG, SMG",Solitary, with occasional grouping,Solitary with occasional grouping,Setonix_brachyurus,0,0,1,No,No,Yes
Sigmodon hispidus,Hispid Cotton Rat,0.9,0.0066,0.1500,N,N,6.0,0.4,1.3,2.5,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC,,Solitary,,Solitary,Sigmodon_hispidus,0,0,0,Yes,No,No
Sorex araneus,Common Shrew,0.8,0.00042,0.0098,N,N,6.6,0.7,10.9,11.2,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,LC,,Solitary,,Solitary,Sorex_araneus,0,0,0,Yes,No,No
Sorex minutus,Eurasian Pygmy Shrew,0.8,0.00022,0.0048,N,N,6.0,0.8,10.9,11.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,LC,,Solitary,,Solitary,Sorex_minutus,0,0,0,Yes,No,No
Sotalia fluviatilis,Tucuxi,10.2,,52.0000,N,Y,1.0,,73.1,73.1,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,EN,,Multimale-Multifemale,,Multimale-Multifemale,Sotalia_fluviatilis,0,0,0,No,No,Yes
Sousa chinensis,Indo-Pacific Humpbacked Dolphin,11.0,,265.0000,N,Y,1.0,24.0,115.7,152.2,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,VU,SS,Multimale-Multifemale,,Multimale-Multifemale,Sousa_chinensis,0,0,0,No,No,Yes
Nannospalax ehrenbergi,Middle East Blind Mole Rat,1.0,0.0050,0.1500,N,N,3.2,1.7,12.0,,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC,,Solitary,,Solitary,Spalax_ehrenbergi,0,0,0,Yes,No,No
Otospermophilus beecheyi,California Ground Squirrel,0.9,0.00929,0.5085,N,N,6.7,1.8,12.0,12.2,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,Y,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Spermophilus_beecheyi,0,0,0,Yes,No,No
Urocitellus beldingi,Belding's Ground Squirrel,0.9,0.00686,0.2652,N,N,5.7,0.8,12.9,14.0,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,Y,Y,LC,,Female exclusive groups,,Female exclusive groups,Spermophilus_beldingi,0,0,0,Yes,No,No
Urocitellus columbianus,Columbian Ground Squirrel,0.8,0.0091,0.4414,N,N,3.5,1.1,19.4,20.9,N,Y,Y,N,,,,N,Y,N,N,Y,N,Y,Y,Y,LC,,,,,Spermophilus_columbianus,0,0,0,No,No,Yes
Urocitellus richardsonii,Richardson's Ground Squirrel,0.8,0.0068,0.3550,N,N,7.4,1.3,11.4,11.4,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,LC,SMG,Solitary,,Solitary,Spermophilus_richardsonii,0,0,0,Yes,No,No
Stenella attenuata,Pantropical Spotted Dolphin,11.5,10,113.0000,N,Y,1.0,18.0,120.0,162.0,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC,,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Stenella_attenuata,0,0,0,No,No,Yes
Stenella coeruleoalba,Striped Dolphin,12.6,12.5,144.0000,N,N,1.8,15.2,108.0,132.0,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC,,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Stenella_coeruleoalba,1,1,1,No,No,Yes
Stenella frontalis,Atlantic Spotted Dolphin,11.7,,126.0000,N,Y,1.0,30.0,138.0,160.0,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC,,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Stenella_frontalis,0,0,0,No,No,Yes
Stenella longirostris,Spinner Dolphin,10.3,7.5000,60.0000,Y,Y,1.0,15.5,66.0,102.0,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC,,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Stenella_longirostris,1,1,1,No,No,Yes
Suricata suricatta,Meerkat,2.3,0.0305,0.7950,N,N,4.1,1.9,12.2,12.2,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Suricata_suricatta,0,0,0,No,Yes,No
Sus scrofa,Wild Boar,4.0,0.875,110.0000,Y,N,6.5,3.3,18.0,18.0,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,LC,,Female exclusive groups,,Female exclusive groups,Sus_scrofa,0,0,0,No,No,Yes
Sylvicapra grimmia,Bush Duiker,6.8,1.7,18.3000,Y,Y,1.0,3.0,9.8,16.0,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,LC,,Solitary,,Solitary,Sylvicapra_grimmia,0,0,0,Yes,No,No
Sylvilagus floridanus,Eastern Cottontail,0.9,0.03415,1.1500,N,N,3.5,0.8,4.1,3.5,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,,Solitary,,Solitary,Sylvilagus_floridanus,0,1,1,Yes,No,No
Symphalangus syndactylus,Siamang,7.0,0.54,10.3000,N,Y,1.0,12.0,102.0,102.0,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,EN,SMG,Monogamous,,Monogamous,Symphalangus_syndactylus,0,1,1,No,Yes,No
Syncerus caffer,Cape Buffalo,11.5,45,485.0000,N,Y,1.1,10.0,43.0,55.8,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,NT,SS,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Syncerus_caffer,1,1,1,No,No,Yes
Tachyglossus aculeatus,Short-beaked Echidna,0.6,0.00037,4.0000,N,Y,1.0,5.9,18.4,18.3,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC,,Solitary,,Solitary,Tachyglossus_aculeatus,0,0,0,Yes,No,No
Tadarida brasiliensis,Brazilian Free-tailed Bat,2.8,0.00319,0.0125,N,Y,1.5,1.8,11.2,18.2,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC,"AS, MC",Multimale-Multifemale,,Multimale-Multifemale,Tadarida_brasiliensis,0,0,0,No,No,Yes
Talpa europaea,European Mole,0.9,0.00324,0.0890,N,N,3.9,1.0,10.9,10.9,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC,,Solitary,,Solitary,Talpa_europaea,0,0,0,Yes,No,No
Tamias striatus,Eastern Chipmunk,1.0,0.0034,0.0970,N,N,4.2,1.2,3.0,7.5,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,LC,,Solitary,,Solitary,Tamias_striatus,0,0,0,Yes,No,No
Tamiasciurus hudsonicus,Red Squirrel,1.1,0.00689,0.2130,N,N,3.9,3.3,11.4,11.9,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,LC,SMG,Solitary,,Solitary,Tamiasciurus_hudsonicus,1,1,1,Yes,No,No
Tapirus terrestris,South American Tapir,13.4,4.5,250.0000,N,Y,1.0,4.0,19.0,19.0,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,VU,,Solitary,,Solitary,Tapirus_terrestris,0,0,0,Yes,No,No
Taxidea taxus,American Badger,1.4,0.09349,6.8000,N,Y,2.8,1.4,4.0,14.7,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,LC,DI,Solitary,,Solitary,Taxidea_taxus,0,0,0,Yes,No,No
Tayassu pecari,White-lipped Peccary,5.3,1.25,32.5000,N,N,2.0,6.0,20.3,18.3,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VU,,Multimale-Multifemale,,Multimale-Multifemale,Tayassu_pecari,1,1,1,No,No,Yes
Theropithecus gelada,Gelada,6.1,0.46492,14.0000,Y,Y,1.0,15.7,46.7,73.0,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,LC,,Harem with bachelor groups,,Harem with bachelor groups,Theropithecus_gelada,1,1,1,No,No,Yes
Trachypithecus obscurus,Dusky Leaf-monkey,5.0,0.33918,6.8000,N,Y,1.0,12.1,48.7,,Y,,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,N,Y,EN,"SS, SH",Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Trachypithecus_obscurus,0,0,0,No,No,Yes
Tragelaphus scriptus,Western Bushbuck,6.1,3.4,42.0000,Y,Y,1.0,5.0,16.5,15.0,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,LC,,Solitary,,Solitary,Tragelaphus_scriptus,0,0,0,No,No,Yes
Tragelaphus strepsiceros,Greater Kudu,9.0,15.36657,165.0000,Y,Y,1.0,6.1,18.7,22.0,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,LC,,Segregated Sexes,,Segregated Sexes,Tragelaphus_strepsiceros,0,0,0,No,No,Yes
Trichechus manatus,West Indian Manatee,13.0,29.63699,1620 max,N,Y,1.2,15.2,50.0,30.4,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,VU,,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Trichechus_manatus,0,1,1,Yes,No,No
Trichosurus vulpecula,Common Brush-tailed Possum,0.6,0.0002,2.8500,N,Y,1.0,6.4,12.3,,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,LC,,Solitary,,Solitary,Trichosurus_vulpecula,0,1,1,Yes,No,No
Tursiops aduncus,Indo-Pacific Bottlenose Dolphin,12.2,,210.0000,N,Y,1.0,,162.0,150.0,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,NT,SS,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Tursiops_aduncus,1,1,1,No,No,Yes
Tursiops truncatus,Bottlenose Dolphin,12.2,30,385.0000,N,Y,1.0,19.0,110.0,136.0,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC,SS,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Tursiops_truncatus,1,1,1,No,No,Yes
Urocyon cinereoargenteus,Northern Gray Fox,2.0,0.10368,3.0000,N,N,3.7,2.0,10.0,10.0,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,N,LC,,Monogamous,,Monogamous,Urocyon_cinereoargenteus,0,0,0,No,Yes,No
Ursus americanus,American Black Bear,2.5,0.325,95.0000,N,N,2.4,7.5,42.6,42.6,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,LC,DI,Solitary,,Solitary,Ursus_americanus,1,1,1,Yes,No,No
Ursus arctos,Brown Bear,1.8,0.49999,165.0000,Y,N,2.2,6.6,44.0,43.8,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,LC,DI,Solitary,,Solitary,Ursus_arctos,1,1,1,Yes,No,No
Ursus maritimus,Polar Bear,3.0,0.67048,200.0000,Y,N,1.7,22.0,57.8,57.8,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,VU,DI,Solitary,,Solitary,Ursus_maritimus,0,0,1,Yes,No,No
Ursus thibetanus,Asian Black Bear,2.0,0.3575,87.5000,N,N,1.5,3.0,33.8,36.5,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,VU,DI,Solitary,,Solitary,Ursus_thibetanus,0,0,0,Yes,No,No
