Species,Common Name,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Fully Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Nonseasonal Breeding?,Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation,Modifiers,Base Social Form,Modifier,Full Sociality,Species,Female_Homosexuality,Male_Homosexuality,SSB,Solitary,Social_monogamy,Group_living
Callicebus moloch,Red-bellied Titi,5.5,0.0744,0.8600,N,Y,1.0,2.8,36.5,42.1,N,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,LC,,Monogamous,,Monogamous,Callicebus_moloch,0,0,0,No,Yes,No
Callimico goeldii,Goeldi's Marmoset,5.1,0.0555,0.3550,N,Y,1.1,3.5,13.0,13.2,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,VU,,Multimale-Multifemale,,Multimale-Multifemale,Callimico_goeldii,0,0,0,No,No,Yes
Callithrix jacchus,Common Marmoset,4.8,0.02774,0.3220,N,N,2.3,2.0,14.5,11.5,Y,N,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Callithrix_jacchus,0,1,1,No,Yes,No
Callorhinus ursinus,Northern Fur Seal,8.5,5.3548,50.0000,Y,Y,1.0,3.6,48.7,48.0,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,VU,"MA, AS.",Multimale-Multifemale with bachelor groups, in mating aggregations,Multimale-Multifemale with bachelor groups in mating aggregations,Callorhinus_ursinus,1,1,1,No,No,Yes
Canis latrans,Coyote,2.1,0.257,11.1000,N,N,5.7,1.6,10.4,9.1,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y,N,LC,SS,Multimale-Multifemale,,Multimale-Multifemale,Canis_latrans,0,0,0,No,Yes,No
Canis mesomelas,Black-backed Jackal,2.1,0.1772,8.0000,N,N,3.9,2.1,10.3,8.4,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,LC,,Monogamous,,Monogamous,Canis_mesomelas,0,0,0,No,Yes,No
Canis simensis,Ethiopian Wolf,2.1,0.2,12.7000,N,N,4.0,2.3,24.8,24.8,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,EN,SS,Multimale-Multifemale,,Multimale-Multifemale,Canis_simensis,0,0,0,No,Yes,No
Capra aegagrus,Wild Goat,5.1,2.9,40.0000,Y,N,1.6,,30.0,24.0,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,NT,,Variable Group Structure,,Variable Group Structure,Capra_aegagrus,0,1,1,No,No,Yes
Capra ibex,Alpine Ibex,5.7,2.78,45.0000,Y,Y,1.1,6.0,18.0,18.0,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,LC,,Variable Group Structure,,Variable Group Structure,Capra_ibex,0,1,1,No,No,Yes
Capra pyrenaica,Iberian Ibex,6.0,,36.0000,Y,N,1.5,,30.0,,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,LC,,Variable Group Structure,,Variable Group Structure,Capra_pyrenaica,0,1,1,No,No,Yes
Capreolus capreolus,European Roe,5.0,1.6,23.0000,Y,N,1.8,2.8,13.8,13.8,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC,"DI, OG",Solitary, with occasional grouping,Solitary with occasional grouping,Capreolus_capreolus,0,1,1,Yes,No,No
Caracal caracal,Caracal,2.4,0.225,11.0000,N,N,2.7,4.0,13.5,13.5,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC,,Solitary,,Solitary,Caracal_caracal,0,0,0,Yes,No,No
Carollia perspicillata,Seba's Short-tailed Bat,3.5,0.00489,0.0200,N,Y,1.0,1.2,8.6,8.6,N,Y,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,LC,,Harem with bachelor groups,,Harem with bachelor groups,Carollia_perspicillata,0,0,0,No,No,Yes
Castor canadensis,American Beaver,3.5,0.41517,17.5000,N,N,3.6,1.7,21.6,21.3,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,,Solitary,,Solitary,Castor_canadensis,0,0,0,No,Yes,No
Castor fiber,Eurasian Beaver,3.5,0.55027,17.5000,N,N,3.0,2.0,33.1,34.5,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,LC,,Monogamous,,Monogamous,Castor_fiber,0,0,0,No,Yes,No
Cavia aperea,Brazilian Guinea Pig,2.0,0.06,0.6000,N,N,2.3,0.7,2.0,3.0,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,LC,,Solitary,,Solitary,Cavia_aperea,1,1,1,Yes,No,No
Cebuella pygmaea,Pygmy Marmoset,4.7,0.0145,0.1100,N,N,1.9,3.0,16.0,16.0,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,Y,VU,,Harem,,Harem,Cebuella_pygmaea,0,0,0,No,Yes,No
Cebus albifrons,White-fronted Capuchin,5.7,0.23192,2.3000,N,Y,1.0,9.0,46.3,43.7,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Cebus_albifrons,0,1,1,No,No,Yes
Sapajus apella,Tufted Capuchin,5.2,0.21,2.3500,Y,Y,1.1,13.9,57.6,78.0,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,LC,,Harem,,Harem,Cebus_apella,1,1,1,No,No,Yes
Cebus capucinus,White-headed Capuchin,5.4,0.23836,2.2500,N,Y,1.0,17.1,50.2,97.4,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,VU,,Multimale-Multifemale,,Multimale-Multifemale,Cebus_capucinus,1,1,1,No,No,Yes
Cebus olivaceus,Weeper Capuchin,5.1,,2.6500,N,Y,1.0,18.0,76.0,88.0,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Cebus_olivaceus,1,1,1,No,No,Yes
Cephalorhynchus hectori,Hector's Dolphin,10.6,,50.0000,N,Y,1.0,11.9,93.3,84.0,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,EN,,Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Cephalorhynchus_hectori,0,0,0,No,No,Yes
Ceratotherium simum,White Rhinoceros,16.5,49.75,2300.0000,N,Y,1.0,19.0,67.5,54.8,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,NT,SS,Segregated Sexes,,Segregated Sexes,Ceratotherium_simum,0,0,0,Yes,No,No
Cercocebus torquatus,Collared Mangabey,5.6,0.4,6.3000,Y,Y,1.0,7.0,38.2,44.0,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,EN,,Multimale-Multifemale,,Multimale-Multifemale,Cercocebus_torquatus,1,1,1,No,No,Yes
Cercopithecus ascanius,Red-tailed Monkey,5.5,0.371,2.9000,N,Y,1.0,5.5,48.0,72.0,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,LC,,Harem,,Harem,Cercopithecus_ascanius,0,0,0,No,No,Yes
Cercopithecus diana,Diana Monkey,5.5,0.4669,3.8530,N,Y,1.0,12.1,48.0,63.0,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,EN,SS,Harem,,Harem,Cercopithecus_diana,0,0,0,No,No,Yes
Cercopithecus mitis,Blue Monkey,5.5,0.402,4.2100,Y,Y,1.0,,61.5,55.8,,,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,LC,,Harem,,Harem,Cercopithecus_mitis,0,0,0,No,No,Yes
Cerdocyon thous,Crab-eating Fox,1.9,0.14,6.5000,N,N,3.5,2.7,9.2,9.1,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,LC,,Monogamous,,Monogamous,Cerdocyon_thous,0,0,0,No,Yes,No
Cervus canadensis,Wapiti (Elk),8.2,14,185.0000,Y,Y,1.0,7.5,22.0,16.0,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC,,Harem with bachelor groups,,Harem with bachelor groups,Cervus_canadensis,0,0,0,No,No,Yes
Cervus elaphus,Red Deer (see comments),7.8,8.75,97.5000,Y,Y,1.1,7.5,16.0,16.0,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N,LC,,Harem with bachelor groups,,Harem with bachelor groups,Cervus_elaphus,1,1,1,No,No,Yes
Cervus nippon,Sika,7.5,5,55.0000,Y,Y,1.0,6.0,17.3,16.7,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC,SS,Segregated Sexes,,Segregated Sexes,Cervus_nippon,0,1,1,Yes,No,No
Cheirogaleus medius,Lesser Dwarf Lemur,2.1,0.01465,0.1350,N,N,2.0,2.0,15.0,15.0,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,VU,SMG,Monogamous,,Monogamous,Cheirogaleus_medius,0,0,0,No,Yes,No
Chlorocebus aethiops,Grivet,6.0,0.3259,3.2000,N,Y,1.0,7.3,44.0,60.8,,,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Chlorocebus_aethiops,1,1,1,No,No,Yes
Chlorocebus pygerythrus,Vervet Monkey,6.0,0.3259,3.2000,N,Y,1.0,7.1,60.0,60.8,,Y,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,LC,,Multimale-Multifemale,,Multimale-Multifemale,Chlorocebus_pygerythrus,0,1,1,No,No,Yes
Colobus guereza,Mantled Guereza,5.2,0.44492,7.8970,N,Y,1.0,12.9,48.0,60.0,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,LC,,Harem with bachelor groups,,Harem with bachelor groups,Colobus_guereza,0,0,0,No,No,Yes
Connochaetes taurinus,Blue Wildebeest,8.3,18.04436,190.0000,Y,Y,1.0,8.2,17.2,30.4,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC,SS,Segregated Sexes,,Segregated Sexes,Connochaetes_taurinus,0,0,0,No,No,Yes
Cricetus cricetus,Common Hamster,0.6,0.0053,0.3730,N,N,8.4,0.9,2.9,1.9,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,CR,,Solitary,,Solitary,Cricetus_cricetus,0,0,0,Yes,No,No
Crocidura russula,Greater White-toothed Shrew,1.0,0.0008,0.0095,N,N,4.0,0.5,1.9,2.8,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,LC,,Monogamous,,Monogamous,Crocidura_russula,0,0,0,Yes,No,No
Crocuta crocuta,Spotted Hyena,3.7,1,50.0000,N,N,1.9,13.5,32.0,24.0,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,N,LC,,Multimale-Multifemale,,Multimale-Multifemale,Crocuta_crocuta,1,0,1,No,No,Yes
Cuon alpinus,Dhole,2.1,0.275,11.5000,N,N,4.3,1.7,24.0,24.0,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,EN,,Multimale-Multifemale,,Multimale-Multifemale,Cuon_alpinus,0,1,1,No,Yes,No
Cynomys ludovicianus,Black-tailed Prairie Dog,1.1,0.01524,0.8190,N,N,4.4,1.5,26.6,24.3,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,LC,,Harem,,Harem,Cynomys_ludovicianus,0,0,0,No,No,Yes
Cynopterus sphinx,Greater Short-nosed Fruit Bat,4.0,0.01225,0.0490,N,Y,1.0,1.8,7.5,17.5,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,LC,"DI, SS",Harem,,Harem,Cynopterus_sphinx,0,0,0,No,No,Yes
Cystophora cristata,Hooded Seal,11.2,20.5,200.0000,Y,Y,1.0,0.1,36.5,60.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,VU,"DI, OG",Solitary, with occasional grouping,Solitary with occasional grouping,Cystophora_cristata,0,0,0,Yes,No,No
Dama dama,Fallow Deer,7.7,4.5,42.0000,Y,Y,1.0,8.5,16.0,16.0,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,LC,,Segregated Sexes,,Segregated Sexes,Dama_dama,1,0,1,No,No,Yes
Damaliscus lunatus,Common Tsessebe,7.9,11,147.0000,N,Y,1.0,,21.3,41.0,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,LC,SS,Harem with bachelor groups,,Harem with bachelor groups,Damaliscus_lunatus,0,0,0,No,No,Yes
