SSB,Species,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Males Noted to not Compete Immediately?,Nonseasonal Breeding?,Lifespan (these are weak af),Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation
0,Phyllostomus hastatus,4.1,0.01594,0.0950,N,Y,1.0,2.4,16.0,,N,N,17.3,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,LC
1,Physeter macrocephalus,15.3,1000,15000.0000,Y,Y,1.0,24.0,108.0,210.0,Y,N,77max,N,Y,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,VU
0,Pipistrellus kuhlii,1.5,0.001575,0.0075,N,N,1.7,2.0,4.0,,N,N,8max,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC
0,Pipistrellus nathusii,,0.00231,0.0110,N,N,1.7,,3.5,,N,N,9.5,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC
1,Pipistrellus pipistrellus,1.5,0.00128,0.0065,N,N,1.4,1.2,13.0,24.0,N,N,9.0,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC
0,Pipistrellus pygmaeus,1.4,0.0011,0.0060,N,N,"1,7",1.4,5.5,15.2,N,N,16.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC
1,Plecotus auritus,2.2,0.00209,0.0080,N,N,1.2,1.4,11.7,12.2,N,N,30.0,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,LC
1,Pongo abelii,8.5,1.6719,37.5000,Y,Y,1.1,84.0,126.0,144.0,Y,Y,53.0,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,CR
1,Pongo pygmaeus,8.5,1.6442,37.5000,Y,Y,1.1,84.0,126.0,144.0,Y,Y,58.9,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,CR
0,Potamochoerus porcus,4.1,0.75,60.0000,Y,N,3.0,3.0,21.0,21.0,Y,N,12.0,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,LC
0,Prionailurus bengalensis,2.2,0.102,4.1000,N,N,2.5,1.2,10.0,10.0,N,Y,15.0,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,LC
0,Procavia capensis,7.6,0.195,3.6000,N,N,2.5,3.0,16.7,16.7,Y,N,10.0,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,LC
1,Procolobus (Piliocolobus?) badius,6.6,,7.5000,N,Y,1.0,25.0,49.4,,N,Y,3.2,,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,EN
1,Procyon lotor,2.1,0.08246,5.5500,N,N,3.1,3.8,12.2,12.2,N,Y,20.6,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,LC
0,Propithecus diadema,6.0,0.13499,6.2500,N,Y,1.0,8.7,54.0,,N,N,20maxwild,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,CR
1,Propithecus verreauxi,5.5,0.10265,2.9000,N,Y,1.0,5.9,31.5,30.4,N,N,19.4,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,CR
0,Psammomys obesus,0.8,0.0062,0.1450,N,N,4.8,0.5,4.5,4.5,N,Y,3.1,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC
0,Pseudocheirus peregrinus,0.7,0.00029,0.9500,N,N,1.9,6.0,13.0,12.5,,Y,6.5,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,LC
0,Pseudorca crassidens,15.4,80,1050.0000,Y,Y,1.0,18.3,104.0,112.0,N,Y,62.0,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,NT
0,Pteronura brasiliensis,2.3,0.20425,24.0000,N,N,2.1,9.0,24.3,24.3,N,N,13.7,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,EN
1,Pteropus poliocephalus,6.3,0.07,0.8000,N,Y,1.0,3.5,17.9,18.0,N,N,23.6,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,VU
1,Puma concolor,3.1,0.6,41.0000,N,N,2.8,2.4,20.0,24.0,Y,Y,21.9,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,LC
1,Rangifer tarandus,7.6,6.5,82.5000,Y,N,1.5,4.3,23.2,22.7,Y,N,16.5,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,VU
0,Raphicerus campestris,5.7,0.92,11.4500,Y,Y,1.0,3.0,6.5,8.1,N,Y,9.3,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,LC
0,Rattus exulans,0.8,0.00243,0.0410,N,N,3.7,0.6,3.0,,N,Y,3.9,,,,,,,,Y,N,N,Y,Y,Y,Y,Y,LC
0,Rattus fuscipes,0.8,0.00424,0.1250,N,N,4.6,0.7,4.0,4.0,N,Y,1.0,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,LC
1,Rattus norvegicus,0.7,0.0058,0.3700,N,N,5.0,1.0,2.8,3.1,N,Y,1.0,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,LC
0,Rattus rattus,0.7,0.00453,0.1920,N,N,5.9,1.0,3.4,3.7,N,Y,1.0,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,LC
0,Rhabdomys pumilio,0.8,0.0025,0.0390,N,N,5.6,0.5,1.5,2.5,N,N,2maxcap,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,LC
1,Rhinolophus ferrumequinum,2.1,0.00564,0.0285,N,Y,1.0,1.7,36.0,36.0,N,N,28max,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,LC
1,Rhinopithecus roxellana,6.6,,8.0000,Y,Y,1.0,,60.0,60.0,N,N,27.5,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,EN
0,Rousettus aegyptiacus,3.5,0.021,0.1340,N,Y,1.1,2.4,12.2,12.2,N,Y,22.9,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,LC
1,Rupicapra pyrenaica,5.6,2.4000,26.0000,N,Y,1.0,2.5,22.5,22.3,Y,N,16.0,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC
0,Rupicapra rupicapra,5.6,2.25,33.0000,N,Y,1.0,2.5,22.5,22.3,Y,N,22max,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
1,Saguinus mystax,5.1,0.04665,0.5050,N,N,1.9,5.7,17.4,18.0,N,Y,20.0,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,LC
1,Saguinus oedipus,6.1,0.041,0.4041,N,N,1.9,1.7,18.6,16.9,N,Y,25.0,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,CR
0,Saiga tatarica,4.7,3.4,31.1500,Y,N,1.5,4.0,7.0,19.0,Y,N,12.0,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,NT
1,Saimiri sciureus,5.2,0.1075,0.8750,N,Y,1.0,5.9,30.0,54.0,N,N,20+,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,LC
1,Sarcophilus harrisii,0.7,0.00002,7.0000,Y,N,2.9,8.0,24.4,24.3,N,N,6.0,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,EN
1,Sciurus carolinensis,1.5,0.01517,0.5050,N,N,3.0,2.3,11.3,13.4,Y,N,23.6,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,LC
0,Sciurus niger,1.5,0.0150,0.9500,N,N,3.0,2.8,11.9,11.8,Y,N,14.9,Y,Y,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,LC
0,Sciurus vulgaris,1.3,0.00883,0.3575,N,N,4.5,2.3,10.0,10.1,Y,N,12.0,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,LC
1,Semnopithecus entellus,6.6,0.49983,12.8000,N,Y,1.0,12.5,48.0,48.0,Y,Y,27.0,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,LC
1,Setonix brachyurus,0.9,0.00036,2.5000,N,Y,1.0,8.3,9.0,13.0,N,Y,12.0,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,VU
0,Sigmodon hispidus,0.9,0.0066,0.1500,N,N,6.0,0.4,1.3,2.5,N,Y,5.2,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC
0,Sorex araneus,0.8,0.00042,0.0098,N,N,6.6,0.7,10.9,11.2,N,N,2.0,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,LC
0,Sorex minutus,0.8,0.00022,0.0048,N,N,6.0,0.8,10.9,11.0,N,N,1.3maxwild,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,LC
0,Sotalia fluviatilis,11.0,,52.0000,N,Y,1.0,,73.1,73.1,N,N,30.4,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,EN
0,Sousa chinensis,11.0,,265.0000,N,Y,1.0,15.0,115.7,152.2,N,Y,40max,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,VU
0,Nannospalax ehrenbergi,1.0,0.0050,0.1500,N,N,3.2,1.7,12.0,,N,N,20maxcap,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,LC
0,Otospermophilus beecheyi,0.9,0.00929,0.5085,N,N,6.7,1.8,12.0,,N,N,5.2,N,,,,,,,Y,N,N,Y,N,Y,Y,Y,LC
0,Urocitellus beldingi,0.9,0.00686,0.2652,N,N,5.7,0.8,12.9,,N,N,11.0,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,Y,Y,LC
0,Urocitellus columbianus,0.8,0.0091,0.4414,N,N,3.5,1.1,19.4,,N,N,4.2,Y,Y,N,,,,N,Y,N,N,Y,N,Y,Y,Y,LC
0,Urocitellus richardsonii,0.8,0.0068,0.3550,N,N,7.4,1.3,11.4,11.4,N,N,6max,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,LC
0,Stenella attenuata,11.5,10,113.0000,N,Y,1.0,18.0,120.0,162.0,N,Y,46.0,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC
1,Stenella coeruleoalba,12.6,12.5,144.0000,N,N,1.8,15.2,108.0,132.0,N,Y,58.0,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC
0,Stenella frontalis,11.7,,126.0000,N,Y,1.0,48.0,138.0,160.0,Y,Y,23min,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC
1,Stenella longirostris,10.3,7.5000,60.0000,Y,Y,1.0,15.5,66.0,102.0,Y,N,26.0,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC
0,Suricata suricatta,2.3,0.0305,0.7950,N,N,4.1,1.9,12.2,12.2,Y,Y,8maxwild,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,Y,LC
0,Sus scrofa,4.0,0.875,110.0000,Y,N,6.5,3.3,18.0,18.0,Y,Y,20.0,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,LC
0,Sylvicapra grimmia,6.8,1.7,18.3000,Y,Y,1.0,3.0,9.8,16.0,N,Y,15maxcap,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,LC
1,Sylvilagus floridanus,0.9,0.03415,1.1500,N,N,3.5,0.8,4.1,,Y,Y,9.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
1,Symphalangus syndactylus,7.0,0.54,10.3000,N,Y,1.0,12.0,102.0,102.0,N,Y,38.0,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,EN
1,Syncerus caffer,11.5,45,485.0000,N,Y,1.1,10.0,43.0,55.8,Y,Y,18.0,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,NT
0,Tachyglossus aculeatus,0.6,0.00037,4.0000,N,Y,1.0,5.9,18.4,18.3,N,N,49.5,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC
0,Tadarida brasiliensis,2.8,0.00319,0.0125,N,Y,1.5,1.8,11.2,18.2,N,N,12.0,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC
0,Talpa europaea,0.9,0.00324,0.0890,N,N,3.9,1.0,10.9,10.9,N,N,prob avg >3,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,LC
0,Tamias striatus,1.0,0.0034,0.0970,N,N,4.2,1.2,3.0,7.5,Y,N,6max,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,LC
1,Tamiasciurus hudsonicus,1.1,0.00689,0.2130,N,N,3.9,3.3,11.4,,N,N,9.8,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,LC
0,Tapirus terrestris,13.4,4.5,250.0000,N,Y,1.0,4.0,19.0,19.0,N,Y,35.0,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,VU
0,Taxidea taxus,1.4,0.09349,6.8000,N,Y,2.8,1.4,4.0,14.7,N,N,26.0,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,LC
1,Tayassu pecari,5.3,1.25,32.5000,N,N,2.0,6.0,20.3,18.3,,Y,13.0,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,VU
1,Theropithecus gelada,6.1,0.46492,14.0000,Y,Y,1.0,15.7,46.7,73.0,N,Y,20maxwild,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,LC
0,Trachypithecus obscurus,5.0,0.33918,6.8000,N,Y,1.0,12.1,48.7,,N,Y,33.8,,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,EN
0,Tragelaphus scriptus,6.1,3.4,42.0000,Y,Y,1.0,5.0,16.5,15.0,Y,Y,14.1,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,LC
0,Tragelaphus strepsiceros,9.0,15.36657,165.0000,Y,Y,1.0,6.1,18.7,22.0,Y,N,13.0,N,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,LC
1,Trichechus manatus,13.0,29.63699,1620 max,N,Y,1.2,15.2,50.0,30.4,Y,Y,30.0,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,VU
1,Trichosurus vulpecula,0.6,0.0002,2.8500,N,Y,1.0,6.4,12.3,18.0,N,Y,13max,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,LC
1,Tursiops aduncus,12.2,19,210.0000,N,Y,1.0,27.0,162.0,150.0,Y,Y,35.0,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,NT
1,Tursiops truncatus,12.2,30,385.0000,N,Y,1.0,19.0,110.0,136.0,N,Y,50.0,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,LC
0,Urocyon cinereoargenteus,2.0,0.10368,3.0000,N,N,3.7,2.0,10.0,10.0,N,N,15.6,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,N,LC
1,Ursus americanus,2.5,0.325,95.0000,N,N,2.4,7.5,42.6,42.6,Y,N,31.7,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,LC
1,Ursus arctos,1.8,0.49999,165.0000,Y,N,2.2,6.5,44.0,43.8,Y,N,43.5,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,LC
1,Ursus maritimus,3.0,0.67048,200.0000,Y,N,1.7,22.0,57.8,57.8,Y,N,43.8,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,VU
0,Ursus thibetanus,2.0,0.3575,87.5000,N,N,1.5,3.0,33.8,36.5,Y,N,37.4,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,VU
1,Varecia variegata,3.4,0.09369,3.7000,N,N,2.2,3.4,21.8,36.0,,N,35maxcap,Y,Y,,Y,,,,Y,N,N,N,Y,Y,N,N,CR
0,Vombatus ursinus,1.0,0.00049,31.0000,N,Y,1.0,15.0,24.8,24.3,N,Y,26.1,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
0,Vulpes velox,1.7,0.03994,1.9500,N,N,4.3,1.6,12.2,12.2,N,N,15.9,Y,N,Y,Y,N,N,N,N,Y,N,Y,Y,Y,Y,N,LC
1,Wallabia bicolor,1.2,0.0006,12.8000,N,Y,1.0,15.0,16.0,16.0,Y,Y,15.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
1,Zalophus californianus,11.5,6.34789,110.0000,Y,Y,1.0,10.6,54.8,60.9,Y,N,20.0,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,LC
0,Ziphius cavirostris,12.2,,3000.0000,Y,Y,1.0,13.0,,,Y,,36.0,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,LC
