Species,FSSB,MSSB,SSB
Dipodomys_spectabilis,0,0,0
Dipodomys_stephensi,0,0,0
Dipus_sagitta,0,0,0
Dobsonia_chapmani,0,0,0
Dobsonia_moluccensis,0,0,0
Dolichotis_patagonum,0,0,0
Dorcopsis_hageni,0,0,0
Dromiciops_gliroides,0,0,0
Dryomys_nitedula,0,0,0
Dugong_dugon,0,1,1
Dymecodon_pilirostris,0,0,0
Echimys_chrysurus,0,0,0
Echimys_semivillosus,0,0,0
Echinoprocta_rufescens,0,0,0
Echymipera_clara,0,0,0
Echymipera_kalubu,0,0,0
Eidolon_helvum,0,0,0
Eira_barbara,0,0,0
Elaphurus_davidianus,0,1,1
Elephantulus_brachyrhynchus,0,0,0
Elephantulus_edwardii,0,0,0
Elephantulus_myurus,0,0,0
Elephantulus_rufescens,0,0,0
Elephas_maximus,1,1,1
Eligmodontia_morgani,0,0,0
Eligmodontia_puerulus,0,0,0
Eligmodontia_typus,0,0,0
Eliomys_melanurus,0,0,0
Eliomys_quercinus,0,0,0
Ellobius_fuscocapillus,0,0,0
Ellobius_lutescens,0,0,0
Ellobius_talpinus,0,0,0
Ellobius_tancrei,0,0,0
Enhydra_lutris,0,1,1
Eoglaucomys_fimbriatus,0,0,0
Epixerus_ebii,0,0,0
Epomophorus_wahlbergi,0,0,0
Epomops_franqueti,0,0,0
Eptesicus_fuscus,0,0,0
Eptesicus_nilssonii,0,0,0
Eptesicus_serotinus,0,1,1
Equus_africanus,0,0,0
Equus_asinus,0,0,0
Equus_burchellii,0,0,0
Equus_ferus,0,1,1
Equus_grevyi,0,0,0
Equus_hemionus,0,0,0
Equus_kiang,0,0,0
Equus_przewalskii,1,1,1
Equus_quagga,1,1,1
Equus_zebra,1,1,1
Eremitalpa_granti,0,0,0
Erethizon_dorsatum,1,1,1
Erignathus_barbatus,0,0,0
Erinaceus_concolor,0,0,0
Erinaceus_europaeus,0,0,0
Erinaceus_roumanicus,0,0,0
Erythrocebus_patas,1,1,1
Eschrichtius_robustus,1,1,1
Eubalaena_australis,1,1,1
Eubalaena_glacialis,1,1,1
Eubalaena_japonica,0,0,0
Euchoreutes_naso,0,0,0
Eudorcas_rufifrons,0,0,0
Eudorcas_thomsonii,1,1,1
Eulemur_collaris,0,0,0
Eulemur_coronatus,0,0,0
Eulemur_fulvus,1,1,1
Eulemur_macaco,0,1,1
Eulemur_mongoz,0,0,0
Eulemur_rubriventer,0,0,0
Eulemur_rufus,0,0,0
Eumetopias_jubatus,0,0,0
Eumops_bonariensis,0,0,0
Eumops_perotis,0,0,0
Euneomys_chinchilloides,0,0,0
Euoticus_elegantulus,0,0,0
Eupetaurus_cinereus,0,0,0
Euphractus_sexcinctus,0,0,0
Felis_catus,0,0,0
Felis_chaus,0,0,0
Felis_margarita,0,0,0
Felis_nigripes,0,0,0
Felis_silvestris,0,1,1
Feresa_attenuata,0,0,0
Fossa_fossana,0,0,0
Funambulus_palmarum,0,0,0
Funambulus_pennantii,0,0,0
Funambulus_tristriatus,0,0,0
Funisciurus_anerythrus,0,0,0
Funisciurus_congicus,0,0,0
Funisciurus_isabella,0,0,0
Funisciurus_lemniscatus,0,0,0
Galago_alleni,0,0,0
Galago_demidoff,0,0,0
Galago_moholi,1,1,1
Galago_senegalensis,1,0,1
Galago_zanzibaricus,0,0,0
Galagoides_demidovii,0,0,0
Galea_leucoblephara,0,0,0
Galea_monasteriensis,0,0,0
Galea_musteloides,1,1,1
Galea_spixii,0,1,1
Galemys_pyrenaicus,0,0,0
Galeopterus_variegatus,0,0,0
Galerella_pulverulenta,0,0,0
Galerella_sanguinea,0,0,0
Galictis_cuja,0,0,0
Galidia_elegans,0,0,0
Gazella_bennettii,0,0,0
Gazella_cuvieri,0,0,0
Gazella_dorcas,0,0,0
Gazella_gazella,0,0,0
Gazella_subgutturosa,0,0,0
Genetta_genetta,0,0,0
Genetta_pardina,0,0,0
Genetta_poensis,0,0,0
Genetta_servalina,0,0,0
Genetta_tigrina,0,0,0
Geocapromys_ingrahami,0,0,0
Geomys_attwateri,0,0,0
Geomys_breviceps,0,0,0
Geomys_bursarius,0,0,0
Georychus_capensis,0,0,0
Geoxus_valdivianus,0,0,0
Gerbilliscus_kempi,0,0,0
Gerbilliscus_leucogaster,0,0,0
Gerbilliscus_robustus,0,0,0
Gerbillurus_paeba,0,0,0
Gerbillurus_tytonis,0,0,0
Gerbillurus_vallinus,0,0,0
Gerbillus_andersoni,0,0,0
Gerbillus_cheesmani,0,0,0
Gerbillus_dasyurus,0,0,0
Gerbillus_gerbillus,0,0,0
Gerbillus_henleyi,0,0,0
Gerbillus_mesopotamiae,0,0,0
Gerbillus_nanus,0,0,0
Gerbillus_pusillus,0,0,0
Gerbillus_pyramidum,0,0,0
Giraffa_camelopardalis,1,1,1
Glaucomys_sabrinus,0,0,0
Glaucomys_volans,0,0,0
Glis_glis,0,0,0
Globicephala_macrorhynchus,0,0,0
Globicephala_melas,0,0,0
Glossophaga_longirostris,0,0,0
Glossophaga_soricina,0,0,0
Golunda_ellioti,0,0,0
Gorilla_beringei,1,1,1
Gorilla_gorilla,1,1,1
Gracilinanus_agilis,0,0,0
Grammomys_dolichurus,0,0,0
Grampus_griseus,0,0,0
Graomys_centralis,0,0,0
Graomys_griseoflavus,0,0,0
Graphiurus_murinus,0,0,0
Gulo_gulo,0,0,0
Gymnobelideus_leadbeateri,0,0,0
Halichoerus_grypus,1,1,1
Hapalemur_griseus,0,0,0
Helarctos_malayanus,0,0,0
Heliophobius_argenteocinereus,0,0,0
Heliosciurus_rufobrachium,0,0,0
Helogale_parvula,1,1,1
Hemibelideus_lemuroides,0,0,0
