Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
39	-3284.796	-3285.534	0.7375911	0.4172623	0.1363611	0.0353774	0.0115613	0.799147	0.261161	0.0847846	1.91522	2.310985	0.210402	4.75281	0.417262	0.136361	0.01978212	0.0197821	0.0197821	0.4947324	0.02158081	0.123797	0.00540018	0.865668	0.0377614	0.250231	1.74977	1.441724	0.378164	2.64436	0.494732	0.0215808	0.00392964	0.00841909
40	-3289.183	-3285.703	-3.480179	0.4172623	0.3509676	0.0326051	0.0274248	0.801919	0.67451	0.0781406	1.92186	2.374045	0.20164	4.95932	0.417262	0.350968	0.03788144	0.0378814	0.0378814	0.4947324	0.02158081	0.123797	0.00540018	0.865668	0.0377614	0.250231	1.74977	1.441724	0.378164	2.64436	0.494732	0.0215808	0.00392964	0.000974689
41	-3283.268	-3286.883	3.614726	0.3832362	0.3509676	0.0299463	0.0274248	0.736526	0.67451	0.0781406	1.92186	2.374045	0.20164	4.95932	0.383236	0.350968	0.02519868	0.0251987	0.0251987	0.531828	0.0003569311	0.128676	8.63595e-05	0.93498	0.000627503	0.24195	1.75805	1.47017	0.370977	2.69558	0.531828	0.000356931	0.00374215	0.00364946
42	-3282.016	-3288.401	6.385707	0.3973942	0.5815776	0.0486783	0.0712396	0.74611	1.09192	0.122494	1.87751	2.023485	0.255427	3.91502	0.397394	0.581578	0.01486153	0.0148615	0.0148615	0.4612613	0.001122269	0.111602	0.000271533	0.81092	0.001973	0.24195	1.75805	1.47017	0.370977	2.69558	0.461261	0.00112227	0.00374215	0.00146771
43	-3275.139	-3288.206	13.06751	0.4379309	0.0006494731	0.0439764	6.52192e-05	0.831885	0.00123373	0.100419	1.89958	2.179455	0.229921	4.34932	0.437931	0.000649473	0.00976482	0.00976482	0.00976482	0.5501994	0.002694389	0.135135	0.000661772	0.965264	0.00472701	0.245611	1.75439	1.457492	0.374163	2.67263	0.550199	0.00269439	0.00453764	0.00146771
44	-3277.802	-3291.62	13.81811	0.4379309	0.0001055498	0.0391862	9.44462e-06	0.836676	0.000201655	0.0894803	1.91052	2.269206	0.216415	4.62075	0.437931	0.00010555	0.005943919	0.00594392	0.00594392	0.5267134	0.008660251	0.115824	0.00190439	0.937603	0.0154161	0.2199	1.7801	1.550248	0.351471	2.84518	0.526713	0.00866025	0.00453764	0.00404882
45	-3274.129	-3291.54	17.41114	0.3898573	0.0006585035	0.0506567	8.55637e-05	0.729058	0.00123144	0.129937	1.87006	1.976813	0.263595	3.79369	0.389857	0.000658503	0.006949585	0.00694958	0.00694958	0.551203	0.0002348084	0.121209	5.16343e-05	0.981197	0.000417983	0.2199	1.7801	1.550248	0.351471	2.84518	0.551203	0.000234808	0.000780123	0.00260109
46	-3282.329	-3294.39	12.06082	0.3391483	0.0001851311	0.0406255	2.21763e-05	0.637671	0.000348086	0.119787	1.88021	2.041119	0.252407	3.96186	0.339148	0.000185131	0.005113748	0.00511375	0.00511375	0.5577774	0.278769	0.122655	0.0613012	0.9929	0.496237	0.2199	1.7801	1.550248	0.351471	2.84518	0.557777	0.278769	0.00185039	0.00187826
47	-3279.622	-3290.381	10.75888	0.3391483	0.0001851311	0.0406255	2.21763e-05	0.637671	0.000348086	0.119787	1.88021	2.041119	0.252407	3.96186	0.339148	0.000185131	0.009832435	0.00983243	0.00983243	0.5479417	0.0003053934	0.120492	6.71559e-05	0.975391	0.000543631	0.2199	1.7801	1.550248	0.351471	2.84518	0.547942	0.000305393	0.00544335	0.020957
48	-3284.764	-3285.781	1.017305	0.3888158	0.007838992	0.019792	0.00039903	0.75784	0.015279	0.0509033	1.9491	2.702186	0.161606	6.18791	0.388816	0.00783899	0.01398786	0.0139879	0.0139879	0.5479417	0.08362184	0.120492	0.0183884	0.975391	0.148855	0.2199	1.7801	1.550248	0.351471	2.84518	0.547942	0.0836218	0.00427825	0.0150083
49	-3283.951	-3285.153	1.202627	0.4349878	0.02665948	0.0221423	0.00135706	0.847833	0.0519619	0.0509033	1.9491	2.702186	0.161606	6.18791	0.434988	0.0266595	0.01593042	0.0159304	0.0159304	0.5479417	0.004621419	0.123754	0.00104376	0.972129	0.00819907	0.225853	1.77415	1.527961	0.356795	2.80273	0.547942	0.00462142	0.00427825	0.0178191
50	-3278.887	-3286.347	7.460929	0.3939228	0.0023259	0.016652	9.83208e-05	0.771194	0.00455348	0.0422721	1.95773	2.843195	0.146944	6.80533	0.393923	0.0023259	0.01206249	0.0120625	0.0120625	0.5381853	0.01943083	0.112718	0.0040696	0.963653	0.0347921	0.20944	1.79056	1.590717	0.342008	2.92391	0.538185	0.0194308	0.00427825	0.00322145
51	-3278.971	-3287.11	8.139182	0.3647018	0.0002996037	0.0190806	1.56748e-05	0.710323	0.000583533	0.0523183	1.94768	2.681323	0.163896	6.10144	0.364702	0.000299604	0.009861802	0.0098618	0.0098618	0.5381853	0.05044924	0.112718	0.0105661	0.963653	0.0903324	0.20944	1.79056	1.590717	0.342008	2.92391	0.538185	0.0504492	0.00427825	0.00801326
52	-3278.462	-3285.515	7.052487	0.4144248	0.0001024309	0.021682	5.35901e-06	0.807168	0.000199503	0.0523183	1.94768	2.681323	0.163896	6.10144	0.414425	0.000102431	0.01690082	0.0169008	0.0169008	0.5660867	0.05044924	0.128076	0.011414	1.0041	0.0894845	0.226248	1.77375	1.526503	0.357146	2.79998	0.566087	0.0504492	0.00427825	0.00801326
53	-3280.879	-3285.446	4.567424	0.4868284	0.0007883487	0.02547	4.12451e-05	0.948187	0.00153545	0.0523183	1.94768	2.681323	0.163896	6.10144	0.486828	0.000788349	0.01872463	0.0187246	0.0187246	0.6015193	0.03666367	0.136092	0.00829507	1.06695	0.0650323	0.226248	1.77375	1.526503	0.357146	2.79998	0.601519	0.0366637	0.00427825	0.00801326
54	-3280.37	-3287.83	7.46001	0.4868284	0.0007883487	0.02547	4.12451e-05	0.948187	0.00153545	0.0523183	1.94768	2.681323	0.163896	6.10144	0.486828	0.000788349	0.008966513	0.00896651	0.00896651	0.6351431	0.001741712	0.124942	0.00034262	1.14534	0.0031408	0.196714	1.80329	1.642437	0.330283	3.02771	0.635143	0.00174171	0.00415149	0.0175702
55	-3281.629	-3287.016	5.387074	0.5470429	0.004663525	0.0286203	0.000243988	1.06547	0.00908306	0.0523183	1.94768	2.681323	0.163896	6.10144	0.547043	0.00466353	0.0146356	0.0146356	0.0146356	0.6351431	0.008791748	0.124942	0.00172946	1.14534	0.015854	0.196714	1.80329	1.642437	0.330283	3.02771	0.635143	0.00879175	0.00191956	0.0092846
56	-3277.483	-3286.223	8.740431	0.5470429	0.08020932	0.0286203	0.00419641	1.06547	0.156222	0.0523183	1.94768	2.681323	0.163896	6.10144	0.547043	0.0802093	0.0146356	0.0146356	0.0146356	0.6445181	0.0001142024	0.10737	1.90249e-05	1.18167	0.00020938	0.16659	1.83341	1.777937	0.301435	3.31746	0.644518	0.000114202	0.00313956	0.000995196
57	-3280.023	-3284.938	4.915382	0.5506705	0.001880346	0.0288101	9.83765e-05	1.07253	0.00366232	0.0523183	1.94768	2.681323	0.163896	6.10144	0.550671	0.00188035	0.01993298	0.019933	0.019933	0.6445181	0.0116573	0.12507	0.00226212	1.16397	0.0210525	0.194052	1.80595	1.653631	0.327798	3.05066	0.644518	0.0116573	0.00313956	0.00632748
58	-3280.439	-3285.048	4.60897	0.5506705	0.0005931095	0.0411128	4.42812e-05	1.06023	0.00114194	0.0746595	1.92534	2.40917	0.196919	5.07822	0.550671	0.000593109	0.02112085	0.0211208	0.0211208	0.6445181	0.0116573	0.134389	0.00243068	1.15465	0.0208839	0.208512	1.79149	1.594396	0.34116	2.93118	0.644518	0.0116573	0.0019293	0.0131649
59	-3285.008	-3286.244	1.236258	0.5354228	0.01978276	0.0227439	0.000840341	1.0481	0.0387252	0.0424784	1.95752	2.839508	0.14731	6.78842	0.535423	0.0197828	0.02049023	0.0204902	0.0204902	0.6445181	0.03014524	0.122115	0.00571153	1.16692	0.0545789	0.189467	1.81053	1.673237	0.323492	3.09127	0.644518	0.0301452	0.00800849	0.00124159
60	-3284.963	-3284.371	-0.5913011	0.5354228	0.7063753	0.0227439	0.0300057	1.0481	1.38274	0.0424784	1.95752	2.839508	0.14731	6.78842	0.535423	0.706375	0.01710081	0.0171008	0.0171008	0.6540338	0.01797041	0.121649	0.00334246	1.18642	0.0325984	0.185998	1.814	1.688353	0.32021	3.12295	0.654034	0.0179704	0.00745118	0.000909999
61	-3286.585	-3284.188	-2.396844	0.5354228	0.7063753	0.0338758	0.0446918	1.03697	1.36806	0.0632693	1.93673	2.536256	0.180743	5.53271	0.535423	0.706375	0.02102639	0.0210264	0.0210264	0.6008116	0.06284257	0.110656	0.0115742	1.09097	0.114111	0.184177	1.81582	1.69639	0.318479	3.13992	0.600812	0.0628426	0.00483542	0.00344161
62	-3278.848	-3285.25	6.4012	0.4911404	0.2380463	0.0310741	0.015061	0.951207	0.461032	0.0632693	1.93673	2.536256	0.180743	5.53271	0.49114	0.238046	0.01518708	0.0151871	0.0151871	0.5689282	0.000210779	0.104784	3.88207e-05	1.03307	0.000382737	0.184177	1.81582	1.69639	0.318479	3.13992	0.568928	0.000210779	0.00483542	0.00297915
63	-3273.418	-3288.834	15.41602	0.4911404	0.0003954364	0.0310741	2.5019e-05	0.951207	0.000765854	0.0632693	1.93673	2.536256	0.180743	5.53271	0.49114	0.000395436	0.008989335	0.00898934	0.00898934	0.6408318	0.000210779	0.125857	4.13963e-05	1.15581	0.000380162	0.196397	1.8036	1.643766	0.329987	3.03043	0.640832	0.000210779	0.00213223	0.00297915
64	-3280.045	-3288.12	8.075688	0.4911404	0.01200699	0.0310741	0.000759673	0.951207	0.0232543	0.0632693	1.93673	2.536256	0.180743	5.53271	0.49114	0.012007	0.0105448	0.0105448	0.0105448	0.6408318	0.000210779	0.125857	4.13963e-05	1.15581	0.000380162	0.196397	1.8036	1.643766	0.329987	3.03043	0.640832	0.000210779	0.00866315	0.00811307
65	-3280.831	-3287.997	7.165943	0.5596773	0.005598831	0.0354104	0.000354234	1.08394	0.0108434	0.0632693	1.93673	2.536256	0.180743	5.53271	0.559677	0.00559883	0.01153118	0.0115312	0.0115312	0.6408318	0.000210779	0.128662	4.23187e-05	1.153	0.000379239	0.200773	1.79923	1.625627	0.334049	2.99358	0.640832	0.000210779	0.00498408	0.0161009
66	-3279.265	-3286.398	7.133657	0.5216667	0.0004828189	0.0330055	3.05476e-05	1.01033	0.00093509	0.0632693	1.93673	2.536256	0.180743	5.53271	0.521667	0.000482819	0.01233215	0.0123321	0.0123321	0.6554157	0.002071897	0.130892	0.000413777	1.17994	0.00373002	0.199709	1.80029	1.630004	0.333064	3.00243	0.655416	0.0020719	0.00498408	0.0161009
