Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
36	-2223.334	-2222.728	-0.6060503	0.0002325688	0.02071738	9.81968e-05	0.00874743	0.000366941	0.0326873	0.422227	1.57777	0.9772035	0.51731	1.93308	0.000232569	0.0207174	0.06466235	0.0646624	0.0646624	0.09147929	0.0004559755	0.0163511	8.15016e-05	0.166607	0.000830449	0.178741	1.82126	1.720815	0.313275	3.19208	0.0914793	0.000455975	0.0156097	0.000859089
37	-2220.224	-2226.678	6.453853	0.0002164417	0.02071738	9.13875e-05	0.00874743	0.000341496	0.0326873	0.422227	1.57777	0.9772035	0.51731	1.93308	0.000216442	0.0207174	0.03826008	0.0382601	0.0382601	0.0633011	0.002907395	0.00677291	0.000311077	0.119829	0.00550371	0.106995	1.893	2.12986	0.237742	4.20624	0.0633011	0.0029074	0.0156097	0.00075303
38	-2219.46	-2228.931	9.471397	0.0005797448	0.0003767579	0.000244784	0.000159077	0.000914706	0.000594439	0.422227	1.57777	0.9772035	0.51731	1.93308	0.000579745	0.000376758	0.03319428	0.0331943	0.0331943	0.060217	0.008020623	0.00644293	0.000858168	0.113991	0.0151831	0.106995	1.893	2.12986	0.237742	4.20624	0.060217	0.00802062	0.0156097	0.00304188
39	-2222.549	-2220.707	-1.842698	0.005220119	0.0081511	0.00220407	0.00344161	0.00823616	0.0128606	0.422227	1.57777	0.9772035	0.51731	1.93308	0.00522012	0.0081511	0.0531436	0.0531436	0.0531436	0.07342119	0.008020623	0.00785571	0.000858168	0.138987	0.0151831	0.106995	1.893	2.12986	0.237742	4.20624	0.0734212	0.00802062	0.0138656	0.00173218
40	-2221.38	-2221.651	0.271434	0.005220119	0.0001632449	0.00381783	0.000119392	0.0066224	0.000207097	0.731369	1.26863	0.4082901	0.759278	1.31704	0.00522012	0.000163245	0.05145257	0.0514526	0.0514526	0.07783876	0.00186651	0.011902	0.000285401	0.143775	0.00344762	0.152906	1.84709	1.846983	0.287719	3.47561	0.0778388	0.00186651	0.0156494	0.0150721
41	-2221.124	-2213.874	-7.249574	0.003210518	0.0003310129	0.00169292	0.000174545	0.00472811	0.000487481	0.527306	1.47269	0.7613667	0.598377	1.67119	0.00321052	0.000331013	0.08493073	0.0849307	0.0849307	0.0771552	0.00186651	0.0117975	0.000285401	0.142513	0.00344762	0.152906	1.84709	1.846983	0.287719	3.47561	0.0771552	0.00186651	0.0156494	0.000987599
42	-2223.131	-2209.934	-13.19721	0.0003761345	0.02429877	0.000205224	0.0132577	0.000547045	0.0353398	0.545614	1.45439	0.7267919	0.612495	1.63267	0.000376134	0.0242988	0.08493073	0.0849307	0.0849307	0.08404278	0.00186651	0.00655476	0.000145575	0.161531	0.00358745	0.0779931	1.92201	2.375503	0.201442	4.9642	0.0840428	0.00186651	0.0239455	0.000987599
43	-2221.09	-2217.957	-3.132572	0.0007768553	0.004639629	0.000423863	0.00253145	0.00112985	0.00674781	0.545614	1.45439	0.7267919	0.612495	1.63267	0.000776855	0.00463963	0.06678362	0.0667836	0.0667836	0.07489391	0.006695412	0.0146	0.00130522	0.135188	0.0120856	0.194943	1.80506	1.649871	0.328631	3.04293	0.0748939	0.00669541	0.0152474	0.0016362
44	-2225.195	-2232.623	7.428035	0.002837295	0.007568181	0.000753815	0.00201072	0.00492077	0.0131256	0.265681	1.73432	1.390736	0.391395	2.55496	0.00283729	0.00756818	0.03405655	0.0340566	0.0340566	0.07489391	0.003105418	0.0114266	0.000473796	0.138361	0.00573704	0.152571	1.84743	1.848747	0.287377	3.47975	0.0748939	0.00310542	0.0102568	0.0016362
45	-2226.806	-2239.033	12.22693	0.0008714045	0.006648015	0.000231515	0.00176625	0.00151129	0.0115298	0.265681	1.73432	1.390736	0.391395	2.55496	0.000871404	0.00664801	0.02524832	0.0252483	0.0252483	0.06598307	0.006297606	0.0235326	0.00224602	0.108434	0.0103492	0.356646	1.64335	1.132522	0.465858	2.14658	0.0659831	0.00629761	0.0102568	0.00220519
46	-2217.837	-2217.051	-0.7860643	0.0008714045	0.0007779633	0.000632819	0.000564961	0.00110999	0.000990965	0.726206	1.27379	0.4165535	0.755058	1.3244	0.000871404	0.000777963	0.06185873	0.0618587	0.0618587	0.06551517	0.006297606	0.00280419	0.000269551	0.128226	0.0123257	0.0428021	1.9572	2.833759	0.147882	6.76215	0.0655152	0.00629761	0.0145837	0.00153521
47	-2217.507	-2220.659	3.151843	0.0008714045	0.0007938573	0.000561668	0.000511684	0.00118114	0.00107603	0.644555	1.35545	0.5510282	0.689587	1.45014	0.000871404	0.000793857	0.04879654	0.0487965	0.0487965	0.06682904	0.004781424	0.00196637	0.000140688	0.131692	0.00942216	0.0294239	1.97058	3.116633	0.122195	8.18364	0.066829	0.00478142	0.0145837	0.00183857
48	-2217.469	-2220.05	2.580928	0.003373901	0.0001279977	0.00217466	8.25015e-05	0.00457314	0.000173494	0.644555	1.35545	0.5510282	0.689587	1.45014	0.0033739	0.000127998	0.05544303	0.055443	0.055443	0.06682904	0.003949409	0.00196637	0.000116207	0.131692	0.00778261	0.0294239	1.97058	3.116633	0.122195	8.18364	0.066829	0.00394941	0.0115028	0.00183857
49	-2220.606	-2228.041	7.43572	0.002507804	0.00260213	0.00228226	0.00236811	0.00273335	0.00283616	0.910064	1.08994	0.1337007	0.913767	1.09437	0.0025078	0.00260213	0.03948544	0.0394854	0.0394854	0.06682904	0.002558785	0.0131324	0.000502819	0.120526	0.00461475	0.196507	1.80349	1.643303	0.33009	3.02948	0.066829	0.00255878	0.0133537	0.00461912
50	-2219.822	-2228.119	8.297399	0.002676738	0.001436138	0.00244249	0.00131046	0.00291099	0.00156182	0.912486	1.08751	0.1300811	0.916	1.0917	0.00267674	0.00143614	0.03255904	0.032559	0.032559	0.06948383	0.0006409476	0.0136541	0.000125951	0.125314	0.00115594	0.196507	1.80349	1.643303	0.33009	3.02948	0.0694838	0.000640948	0.0211238	0.00672167
