Taxon,SSB
Transandinomys_bolivaris,?
Transandinomys_talamancae,?
Tscherskia_triton,0
Tylomys_bullaris,?
Tylomys_fulviventer,?
Tylomys_mirae,?
Tylomys_nudicaudus,?
Tylomys_panamensis,?
Tylomys_tumbalensis,?
Tylomys_watsoni,?
Volemys_millicens,?
Volemys_musseri,?
Wiedomys_cerradensis,?
Wiedomys_pyrrhorhinos,?
Wilfredomys_oenax,?
Xenomys_nelsoni,?
Zygodontomys_brevicauda,0
Zygodontomys_brunneus,?
Abditomys_latidens,?
Abeomelomys_sevia,?
Acomys_airensis,?
Acomys_cahirinus,0
Acomys_cilicicus,?
Acomys_cineraceus,?
Acomys_dimidiatus,0
Acomys_ignitus,?
Acomys_johannis,?
Acomys_kempi,?
Acomys_louisae,?
Acomys_minous,?
Acomys_mullah,?
Acomys_nesiotes,?
Acomys_percivali,?
Acomys_russatus,0
Acomys_seurati,?
Acomys_spinosissimus,0
Acomys_subspinosus,0
Acomys_wilsoni,0
Aethomys_bocagei,?
Aethomys_chrysophilus,0
Aethomys_granti,?
Aethomys_hindei,0
Aethomys_ineptus,?
Aethomys_kaiseri,?
Aethomys_namaquensis,0
Aethomys_nyikae,?
Aethomys_silindensis,?
Aethomys_stannarius,?
Aethomys_thomasi,?
Ammodillus_imbellis,?
Anisomys_imitator,?
Anonymomys_mindorensis,?
Apodemus_agrarius,0
Apodemus_alpicola,?
Apodemus_argenteus,?
Apodemus_avicennicus,?
Apodemus_chevrieri,?
Apodemus_draco,?
Apodemus_epimelas,?
Apodemus_flavicollis,0
Apodemus_gurkha,?
Apodemus_hyrcanicus,?
Apodemus_latronum,?
Apodemus_mystacinus,0
Apodemus_pallipes,?
Apodemus_peninsulae,0
Apodemus_ponticus,?
Apodemus_rusiges,0
Apodemus_semotus,?
Apodemus_speciosus,?
Apodemus_sylvaticus,0
Apodemus_uralensis,0
Apodemus_witherbyi,0
Apomys_abrae,?
Apomys_camiguinensis,?
Apomys_datae,?
Apomys_gracilirostris,?
Apomys_hylocetes,?
Apomys_insignis,?
Apomys_littoralis,?
Apomys_microdon,?
Apomys_musculus,0
Apomys_sacobianus,?
Archboldomys_luzonensis,0
Arvicanthis_abyssinicus,0
Arvicanthis_ansorgei,?
Arvicanthis_blicki,?
Arvicanthis_nairobae,?
Arvicanthis_neumanni,?
Arvicanthis_niloticus,0
Arvicanthis_rufinus,?
Baiyankamys_habbema,?
Baiyankamys_shawmayeri,?
Bandicota_bengalensis,0
Bandicota_indica,0
Bandicota_savilei,?
Batomys_dentatus,?
Batomys_granti,0
Batomys_russatus,?
Batomys_salomonseni,?
Berylmys_berdmorei,?
Berylmys_bowersi,?
Berylmys_mackenziei,?
Berylmys_manipulus,?
Brachiones_przewalskii,?
Bullimus_bagobus,?
Bullimus_gamay,?
Bullimus_luzonicus,?
Bunomys_andrewsi,?
Bunomys_chrysocomus,?
Bunomys_coelestis,?
Bunomys_fratrorum,?
Bunomys_penitus,?
Bunomys_prolatus,?
Canariomys_bravoi,?
Canariomys_tamarani,?
Carpomys_melanurus,?
Carpomys_phaeurus,?
Chiromyscus_chiropus,?
Chiropodomys_calamianensis,?
Chiropodomys_gliroides,?
Chiropodomys_karlkoopmani,?
Chiropodomys_major,?
Chiropodomys_muroides,?
Chiropodomys_pusillus,?
Chiruromys_forbesi,?
Chiruromys_lamia,?
Chiruromys_vates,?
Chrotomys_gonzalesi,?
Chrotomys_mindorensis,?
Chrotomys_sibuyanensis,?
Chrotomys_silaceus,?
Chrotomys_whiteheadi,?
Coccymys_albidens,?
Coccymys_ruemmleri,?
Colomys_goslingi,?
Conilurus_albipes,?
Conilurus_capricornensis,?
Conilurus_penicillatus,?
Coryphomys_buehleri,?
Coryphomys_musseri,?
Crateromys_australis,?
Crateromys_heaneyi,?
Crateromys_paulus,?
Crateromys_schadenbergi,?
Cremnomys_cutchicus,?
Cremnomys_elvira,?
Crossomys_moncktoni,?
Crunomys_celebensis,?
Crunomys_fallax,?
Crunomys_melanius,?
Crunomys_suncoides,?
Dacnomys_millardi,?
Dasymys_foxi,?
Dasymys_incomtus,0
Dasymys_montanus,?
Dasymys_nudipes,?
Dasymys_rufulus,0
Deomys_ferrugineus,?
Dephomys_defua,?
Desmodilliscus_braueri,?
Desmodillus_auricularis,0
Desmomys_harringtoni,?
Desmomys_yaldeni,?
Diomys_crumpi,?
Diplothrix_legata,?
Echiothrix_centrosa,?
Echiothrix_leucura,?
Eropeplus_canus,?
Gerbilliscus_afra,?
Gerbilliscus_boehmi,?
Gerbilliscus_brantsii,?
Gerbilliscus_gambiana,?
Gerbilliscus_guineae,?
Gerbilliscus_inclusus,?
Gerbilliscus_kempi,0
Gerbilliscus_leucogaster,0
Gerbilliscus_nigricaudus,?
Gerbilliscus_phillipsi,?
Gerbilliscus_robustus,0
Gerbilliscus_validus,?
Gerbillurus_paeba,0
Gerbillurus_setzeri,?
Gerbillurus_tytonis,0
Gerbillurus_vallinus,0
Gerbillus_acticola,?
Gerbillus_agag,?
Gerbillus_amoenus,?
Gerbillus_andersoni,0
Gerbillus_aquilus,?
Gerbillus_bottai,?
Gerbillus_brockmani,?
Gerbillus_burtoni,?
Gerbillus_campestris,?
Gerbillus_cheesmani,0
Gerbillus_cosensis,?
Gerbillus_dasyurus,0
Gerbillus_dunni,?
Gerbillus_famulus,?
Gerbillus_floweri,?
Gerbillus_gerbillus,0
Gerbillus_gleadowi,?
Gerbillus_grobbeni,?
Gerbillus_harwoodi,?
Gerbillus_henleyi,0
Gerbillus_hesperinus,?
Gerbillus_hoogstraali,?
Gerbillus_jamesi,?
Gerbillus_juliani,?
Gerbillus_latastei,?
Gerbillus_lowei,?
Gerbillus_mackillingini,?
Gerbillus_maghrebi,?
Gerbillus_mesopotamiae,0
Gerbillus_muriculus,?
Gerbillus_nancillus,?
Gerbillus_nanus,0
Gerbillus_nigeriae,?
Gerbillus_occiduus,?
