Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
40	-197.5042	-218.1118	20.60762	0.00110304	3.130368e-05	0.000339536	9.63585e-06	0.00186654	5.29715e-05	0.307818	1.69218	1.263373	0.426505	2.34464	0.00110304	3.13037e-05	0.02740288	0.0274029	0.0274029	0.0898874	0.0928721	0.0233238	0.793917	0.06452467	0.0110828	0.047608	0.00817718	0.0814414	0.0139884	0.737826	1.26217	0.3979916	0.76457	1.30792	0.0645247	0.0110828	0.0215005	0.020742
41	-193.8077	-218.5509	24.7432	1.42821e-06	0.001832848	4.39629e-07	0.000564184	2.41679e-06	0.00310151	0.307818	1.69218	1.263373	0.426505	2.34464	1.42821e-06	0.00183285	0.006273257	0.00627326	0.00627326	0.0768148	0.224799	0.0199317	0.678455	0.06260779	0.0110828	0.0461937	0.00817718	0.0790219	0.0139884	0.737826	1.26217	0.3979916	0.76457	1.30792	0.0626078	0.0110828	0.0215005	0.020742
42	-199.3388	-218.6689	19.33008	0.002155657	0.001832848	0.00193609	0.00164616	0.00237522	0.00201953	0.898144	1.10186	0.1515372	0.90284	1.10762	0.00215566	0.00183285	0.004311561	0.00431156	0.00431156	0.0784315	0.208483	0.0203512	0.692734	0.06260779	0.01589851	0.0461937	0.0117303	0.0790219	0.0200667	0.737826	1.26217	0.3979916	0.76457	1.30792	0.0626078	0.0158985	0.0296807	0.00933983
43	-190.149	-219.2188	29.06979	1.003637e-06	0.00179158	9.01411e-07	0.0016091	1.10586e-06	0.00197406	0.898144	1.10186	0.1515372	0.90284	1.10762	1.00364e-06	0.00179158	0.009284752	0.00928475	0.00928475	0.166952	0.173685	0.110603	0.54876	0.06260779	0.001941578	0.0304162	0.00094326	0.0947994	0.0029399	0.485822	1.51418	0.8427015	0.566435	1.76543	0.0626078	0.00194158	0.0151146	0.00925249
44	-190.7824	-219.3008	28.5184	1.003637e-06	0.004131918	4.53295e-07	0.00186619	1.55398e-06	0.00639765	0.451652	1.54835	0.9133056	0.540092	1.85154	1.00364e-06	0.00413192	0.02801729	0.0280173	0.0280173	0.166952	0.173685	0.110603	0.54876	0.06439477	4.857168e-05	0.0244902	1.84725e-05	0.104299	7.86709e-05	0.380313	1.61969	1.074139	0.484569	2.06369	0.0643948	4.85717e-05	0.0197145	0.00925249
45	-184.1422	-219.0016	34.8594	1.003637e-06	0.0005498458	4.53295e-07	0.000248339	1.55398e-06	0.000851352	0.451652	1.54835	0.9133056	0.540092	1.85154	1.00364e-06	0.000549846	0.009951603	0.0099516	0.0099516	0.225509	0.0931693	0.386952	0.29437	0.04901827	5.289679e-06	0.0314611	3.39505e-06	0.0665754	7.18431e-06	0.641825	1.35818	0.555666	0.687433	1.45469	0.0490183	5.28968e-06	0.0197145	0.0141443
46	-194.0045	-218.1827	24.17817	1.41215e-06	0.02249158	8.29641e-07	0.0132139	1.99466e-06	0.0317693	0.587502	1.4125	0.650295	0.644928	1.55056	1.41215e-06	0.0224916	0.03443535	0.0344354	0.0344354	0.340815	0.140808	0.0734911	0.444886	0.05350251	0.0003011426	0.0230047	0.000129483	0.0840003	0.000472802	0.429974	1.57003	0.9600763	0.52332	1.91088	0.0535025	0.000301143	0.0197145	0.0209333
47	-182.7098	-217.1103	34.40058	1.41215e-06	3.517268e-06	8.29641e-07	2.0664e-06	1.99466e-06	4.96813e-06	0.587502	1.4125	0.650295	0.644928	1.55056	1.41215e-06	3.51727e-06	0.01073214	0.0107321	0.0107321	0.357187	0.147573	0.0289821	0.466258	0.07852466	0.0003011426	0.0337636	0.000129483	0.123286	0.000472802	0.429974	1.57003	0.9600763	0.52332	1.91088	0.0785247	0.000301143	0.0197145	0.0191177
48	-183.9966	-215.7744	31.77781	1.450446e-05	3.517268e-06	8.5214e-06	2.0664e-06	2.04875e-05	4.96813e-06	0.587502	1.4125	0.650295	0.644928	1.55056	1.45045e-05	3.51727e-06	0.005611709	0.00561171	0.00561171	0.312083	0.0751677	0.0360633	0.576686	0.1436439	0.0003011426	0.0617631	0.000129483	0.225525	0.000472802	0.429974	1.57003	0.9600763	0.52332	1.91088	0.143644	0.000301143	0.0266397	0.0130133
49	-189.2689	-218.8576	29.5887	4.46726e-06	1.217419e-05	2.62453e-06	7.15236e-06	6.30999e-06	1.7196e-05	0.587502	1.4125	0.650295	0.644928	1.55056	4.46726e-06	1.21742e-05	0.007463583	0.00746358	0.00746358	0.168178	0.0428071	0.460599	0.328416	0.1057031	0.0003011426	0.0578299	0.000164754	0.153576	0.000437531	0.547097	1.4529	0.7240227	0.613641	1.62962	0.105703	0.000301143	0.015352	0.0616885
